n_evs,sim_duration_min,evs_reached_target,mean_time_to_target_min,min_time_to_target_min,max_time_to_target_min,mean_final_soc_pct,peak_trafo_loading_pct,min_bus2_voltage_pu,total_higher_cmds,total_lower_cmds,grid_stress_ticks,out_csv
1,6.6,0,,,,57.6,46.8,0.968,0,27,0,/mnt/data/SynologyDrive/Leeds/MSc Project/Coding/UoL_V2G/Logs/multi_ev_1ev_20260624_164039.csv
5,6.6,0,,,,44.0,47.8,0.9679,0,14,0,/mnt/data/SynologyDrive/Leeds/MSc Project/Coding/UoL_V2G/Logs/multi_ev_5ev_20260624_164039.csv
