tick,sim_min,ev0_soc_pct,mean_soc_pct,total_power_kw,bus2_voltage_pu,trafo_loading_pct,line_loading_pct,cmd,bursts,cumulative_higher,cumulative_lower,grid_stress
0,0.00,40.02,40.02,17.000,0.9744,14.02,22.48,LOWER,1,0,1,0
1,0.07,40.05,40.05,22.000,0.9742,14.56,23.33,LOWER,1,0,2,0
2,0.13,40.09,40.09,27.000,0.9740,15.21,24.34,LOWER,1,0,3,0
3,0.20,40.13,40.13,32.000,0.9738,15.94,25.51,LOWER,1,0,4,0
4,0.27,40.18,40.18,37.000,0.9737,16.77,26.81,LOWER,1,0,5,0
5,0.33,40.23,40.23,42.000,0.9735,17.66,28.24,LOWER,1,0,6,0
6,0.40,40.30,40.30,47.000,0.9733,18.62,29.77,LOWER,1,0,7,0
7,0.47,40.36,40.36,52.000,0.9731,19.64,31.40,LOWER,1,0,8,0
8,0.53,40.44,40.44,57.000,0.9728,20.71,33.11,LOWER,1,0,9,0
9,0.60,40.52,40.52,62.000,0.9726,21.82,34.90,LOWER,1,0,10,0
10,0.67,40.61,40.61,67.000,0.9724,22.98,36.76,LOWER,1,0,11,0
11,0.73,40.70,40.70,72.000,0.9722,24.17,38.68,LOWER,1,0,12,0
12,0.80,40.81,40.81,77.000,0.9720,25.40,40.65,LOWER,1,0,13,0
13,0.87,40.91,40.91,82.000,0.9717,26.66,42.68,LOWER,1,0,14,0
14,0.93,41.03,41.03,87.000,0.9715,27.95,44.75,LOWER,1,0,15,0
15,1.00,41.15,41.15,92.000,0.9713,29.26,46.87,LOWER,1,0,16,0
16,1.07,41.28,41.28,97.000,0.9710,30.60,49.02,LOWER,1,0,17,0
17,1.13,41.41,41.41,102.000,0.9708,31.97,51.22,LOWER,1,0,18,0
18,1.20,41.55,41.55,107.000,0.9705,33.36,53.46,LOWER,1,0,19,0
19,1.27,41.70,41.70,112.000,0.9703,34.77,55.73,LOWER,1,0,20,0
20,1.33,41.86,41.86,117.000,0.9700,36.20,58.04,LOWER,1,0,21,0
21,1.40,42.02,42.02,122.000,0.9698,37.65,60.39,LOWER,1,0,22,0
22,1.47,42.19,42.19,127.000,0.9695,39.13,62.76,LOWER,1,0,23,0
23,1.53,42.36,42.36,132.000,0.9692,40.63,65.17,LOWER,1,0,24,0
24,1.60,42.54,42.54,137.000,0.9689,42.14,67.62,LOWER,1,0,25,0
25,1.67,42.73,42.73,142.000,0.9686,43.68,70.10,LOWER,1,0,26,0
26,1.73,42.92,42.92,147.000,0.9683,45.24,72.61,LOWER,1,0,27,0
27,1.80,43.12,43.12,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
28,1.87,43.32,43.32,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
29,1.93,43.52,43.52,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
30,2.00,43.72,43.72,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
31,2.07,43.93,43.93,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
32,2.13,44.13,44.13,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
33,2.20,44.33,44.33,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
34,2.27,44.53,44.53,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
35,2.33,44.73,44.73,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
36,2.40,44.93,44.93,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
37,2.47,45.13,45.13,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
38,2.53,45.33,45.33,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
39,2.60,45.53,45.53,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
40,2.67,45.73,45.73,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
41,2.73,45.93,45.93,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
42,2.80,46.13,46.13,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
43,2.87,46.33,46.33,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
44,2.93,46.53,46.53,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
45,3.00,46.73,46.73,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
46,3.07,46.93,46.93,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
47,3.13,47.14,47.14,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
48,3.20,47.34,47.34,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
49,3.27,47.54,47.54,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
50,3.33,47.74,47.74,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
51,3.40,47.94,47.94,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
52,3.47,48.14,48.14,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
53,3.53,48.34,48.34,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
54,3.60,48.54,48.54,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
55,3.67,48.74,48.74,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
56,3.73,48.94,48.94,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
57,3.80,49.14,49.14,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
58,3.87,49.34,49.34,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
59,3.93,49.54,49.54,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
60,4.00,49.74,49.74,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
61,4.07,49.94,49.94,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
62,4.13,50.14,50.14,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
63,4.20,50.35,50.35,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
64,4.27,50.55,50.55,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
65,4.33,50.75,50.75,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
66,4.40,50.95,50.95,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
67,4.47,51.15,51.15,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
68,4.53,51.35,51.35,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
69,4.60,51.55,51.55,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
70,4.67,51.75,51.75,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
71,4.73,51.95,51.95,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
72,4.80,52.15,52.15,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
73,4.87,52.35,52.35,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
74,4.93,52.55,52.55,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
75,5.00,52.75,52.75,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
76,5.07,52.95,52.95,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
77,5.13,53.15,53.15,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
78,5.20,53.35,53.35,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
79,5.27,53.56,53.56,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
80,5.33,53.76,53.76,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
81,5.40,53.96,53.96,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
82,5.47,54.16,54.16,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
83,5.53,54.36,54.36,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
84,5.60,54.56,54.56,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
85,5.67,54.76,54.76,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
86,5.73,54.96,54.96,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
87,5.80,55.16,55.16,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
88,5.87,55.36,55.36,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
89,5.93,55.56,55.56,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
90,6.00,55.76,55.76,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
91,6.07,55.96,55.96,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
92,6.13,56.16,56.16,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
93,6.20,56.36,56.36,152.000,0.9680,46.82,75.15,HOLD,0,0,27,0
