timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,charger.py_pid,charger.py_cpu_pct,charger.py_rss_mb
1782663497.750943,2026-06-28T16:18:17Z,19.1,196.6,218.6,1146,0.0,14.6
1782663502.7549107,2026-06-28T16:18:22Z,22.6,183.7,231.5,1146,0.0,14.6
1782663507.7578945,2026-06-28T16:18:27Z,20.8,202.5,212.7,1146,0.2,14.6
1782663512.761034,2026-06-28T16:18:32Z,33.0,237.7,177.5,1146,0.2,14.5
1782663517.7670774,2026-06-28T16:18:37Z,52.2,260.7,154.5,1146,0.0,14.5
1782663522.7709734,2026-06-28T16:18:42Z,8.4,274.4,140.8,1146,0.0,14.5
1782663527.7738454,2026-06-28T16:18:47Z,1.3,275.1,140.1,1146,0.0,14.5
1782663532.7783146,2026-06-28T16:18:52Z,0.6,275.0,140.2,1146,0.2,14.5
1782663537.7827656,2026-06-28T16:18:57Z,0.9,275.2,140.1,1146,0.0,14.5
1782663542.786925,2026-06-28T16:19:02Z,0.5,275.2,140.1,1146,0.0,14.5
1782663547.7912428,2026-06-28T16:19:07Z,1.0,275.2,140.1,1146,0.2,14.5
1782663552.7953725,2026-06-28T16:19:12Z,0.7,275.2,140.1,1146,0.0,14.5
1782663557.7998586,2026-06-28T16:19:17Z,6.1,156.9,258.3,1146,0.2,14.5
