timestamp_unix,timestamp_iso,direction,msg_type,size_bytes,processing_ms
1782663599.338,2026-06-28T17:19:59,incoming,BootNotification,144,0.000
1782663599.341,2026-06-28T17:19:59,outgoing,CallResult,127,0.000
1782663599.378,2026-06-28T17:19:59,incoming,Heartbeat,57,0.000
1782663599.379,2026-06-28T17:19:59,outgoing,CallResult,81,0.000
1782663599.388,2026-06-28T17:19:59,incoming,MeterValues,859,0.000
1782663599.389,2026-06-28T17:19:59,incoming,MeterValues,0,0.271
1782663599.390,2026-06-28T17:19:59,outgoing,CallResult,45,0.000
1782663609.401,2026-06-28T17:20:09,incoming,Heartbeat,57,0.000
1782663609.403,2026-06-28T17:20:09,outgoing,CallResult,81,0.000
1782663609.435,2026-06-28T17:20:09,incoming,MeterValues,859,0.000
1782663609.437,2026-06-28T17:20:09,incoming,MeterValues,0,0.352
1782663609.438,2026-06-28T17:20:09,outgoing,CallResult,45,0.000
1782663621.626,2026-06-28T17:20:21,incoming,Heartbeat,57,0.000
1782663621.627,2026-06-28T17:20:21,outgoing,CallResult,81,0.000
1782663621.636,2026-06-28T17:20:21,incoming,MeterValues,859,0.000
1782663621.638,2026-06-28T17:20:21,incoming,MeterValues,0,0.232
1782663621.639,2026-06-28T17:20:21,outgoing,CallResult,45,0.000
1782663631.648,2026-06-28T17:20:31,incoming,Heartbeat,57,0.000
1782663631.649,2026-06-28T17:20:31,outgoing,CallResult,81,0.000
1782663631.672,2026-06-28T17:20:31,incoming,MeterValues,859,0.000
1782663631.675,2026-06-28T17:20:31,incoming,MeterValues,0,0.285
1782663631.675,2026-06-28T17:20:31,outgoing,CallResult,45,0.000
1782663642.003,2026-06-28T17:20:42,incoming,Heartbeat,57,0.000
1782663642.004,2026-06-28T17:20:42,outgoing,CallResult,81,0.000
1782663642.014,2026-06-28T17:20:42,incoming,MeterValues,872,0.000
1782663642.016,2026-06-28T17:20:42,incoming,MeterValues,0,0.284
1782663642.016,2026-06-28T17:20:42,outgoing,CallResult,45,0.000
1782663652.349,2026-06-28T17:20:52,incoming,Heartbeat,57,0.000
1782663652.351,2026-06-28T17:20:52,outgoing,CallResult,81,0.000
1782663652.367,2026-06-28T17:20:52,incoming,MeterValues,876,0.000
1782663652.369,2026-06-28T17:20:52,incoming,MeterValues,0,0.282
1782663652.369,2026-06-28T17:20:52,outgoing,CallResult,45,0.000
1782663662.572,2026-06-28T17:21:02,incoming,Heartbeat,57,0.000
1782663662.573,2026-06-28T17:21:02,outgoing,CallResult,81,0.000
1782663662.589,2026-06-28T17:21:02,incoming,MeterValues,877,0.000
1782663662.592,2026-06-28T17:21:02,incoming,MeterValues,0,0.239
1782663662.592,2026-06-28T17:21:02,outgoing,CallResult,45,0.000
1782663672.861,2026-06-28T17:21:12,incoming,Heartbeat,57,0.000
1782663672.862,2026-06-28T17:21:12,outgoing,CallResult,81,0.000
1782663672.872,2026-06-28T17:21:12,incoming,MeterValues,878,0.000
1782663672.874,2026-06-28T17:21:12,incoming,MeterValues,0,0.283
1782663672.875,2026-06-28T17:21:12,outgoing,CallResult,45,0.000
1782663682.878,2026-06-28T17:21:22,incoming,Heartbeat,57,0.000
1782663682.879,2026-06-28T17:21:22,outgoing,CallResult,81,0.000
1782663682.910,2026-06-28T17:21:22,incoming,MeterValues,878,0.000
1782663682.912,2026-06-28T17:21:22,incoming,MeterValues,0,0.312
1782663682.912,2026-06-28T17:21:22,outgoing,CallResult,45,0.000
1782663693.071,2026-06-28T17:21:33,incoming,Heartbeat,57,0.000
1782663693.072,2026-06-28T17:21:33,outgoing,CallResult,81,0.000
1782663693.081,2026-06-28T17:21:33,incoming,MeterValues,876,0.000
1782663693.083,2026-06-28T17:21:33,incoming,MeterValues,0,0.245
1782663693.084,2026-06-28T17:21:33,outgoing,CallResult,45,0.000
1782663703.093,2026-06-28T17:21:43,incoming,Heartbeat,57,0.000
1782663703.094,2026-06-28T17:21:43,outgoing,CallResult,81,0.000
1782663703.348,2026-06-28T17:21:43,incoming,MeterValues,877,0.000
1782663703.351,2026-06-28T17:21:43,incoming,MeterValues,0,0.354
1782663703.351,2026-06-28T17:21:43,outgoing,CallResult,45,0.000
1782663713.357,2026-06-28T17:21:53,incoming,Heartbeat,57,0.000
1782663713.358,2026-06-28T17:21:53,outgoing,CallResult,81,0.000
1782663713.382,2026-06-28T17:21:53,incoming,MeterValues,877,0.000
1782663713.385,2026-06-28T17:21:53,incoming,MeterValues,0,0.352
1782663713.385,2026-06-28T17:21:53,outgoing,CallResult,45,0.000
1782663723.391,2026-06-28T17:22:03,incoming,Heartbeat,57,0.000
1782663723.393,2026-06-28T17:22:03,outgoing,CallResult,81,0.000
1782663723.807,2026-06-28T17:22:03,incoming,MeterValues,889,0.000
1782663723.809,2026-06-28T17:22:03,incoming,MeterValues,0,0.286
1782663723.810,2026-06-28T17:22:03,outgoing,CallResult,45,0.000
1782663733.525,2026-06-28T17:22:13,incoming,Heartbeat,57,0.000
1782663733.526,2026-06-28T17:22:13,outgoing,CallResult,81,0.000
1782663734.009,2026-06-28T17:22:14,incoming,MeterValues,889,0.000
1782663734.011,2026-06-28T17:22:14,incoming,MeterValues,0,0.241
1782663734.012,2026-06-28T17:22:14,outgoing,CallResult,45,0.000
1782663743.544,2026-06-28T17:22:23,incoming,Heartbeat,57,0.000
1782663743.545,2026-06-28T17:22:23,outgoing,CallResult,81,0.000
1782663744.040,2026-06-28T17:22:24,incoming,MeterValues,888,0.000
1782663744.042,2026-06-28T17:22:24,incoming,MeterValues,0,0.346
1782663744.043,2026-06-28T17:22:24,outgoing,CallResult,45,0.000
1782663753.681,2026-06-28T17:22:33,incoming,Heartbeat,57,0.000
