label,total_cycles,transmit_cycles,success_cycles,delivery_rate_pct,mean_bursts,mean_transmit_ms,p95_transmit_ms,mean_pandapower_ms,higher_count,lower_count
iec104_20260623_174713,98,61,61,100.00,1.262,10.178,17.986,89.492,16,45
iec104_20260623_181249,112,57,57,100.00,1.263,10.263,16.090,90.486,16,41
iec104_20260623_184316,2903,1360,1360,100.00,1.080,8.617,14.724,45.180,621,739
iec104_20260624_162214,16,16,16,100.00,1.000,8.531,11.490,247.800,0,16
iec104_20260624_162427,529,406,406,100.00,1.000,8.482,12.424,49.703,83,323
iec104_20260628_171823,0,0,0,0.00,0.000,0.000,0.000,0.000,0,0
iec104_20260628_171835,9,9,9,100.00,1.000,9.868,14.610,403.252,0,9
iec104_20260628_171941,1240,1069,1069,100.00,1.124,8.692,14.783,46.293,519,550
