timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,grid.py_pid,grid.py_cpu_pct,grid.py_rss_mb
1782663586.537937,2026-06-28T16:19:46Z,14.0,518.5,3430.1,2434,0.0,15.0
1782663591.5385425,2026-06-28T16:19:51Z,0.0,510.5,3438.0,2434,0.0,15.0
1782663596.539277,2026-06-28T16:19:56Z,0.1,506.4,3442.1,2434,0.0,15.0
1782663601.5399823,2026-06-28T16:20:01Z,10.5,565.7,3382.8,2434,0.0,15.0
1782663606.5405855,2026-06-28T16:20:06Z,6.3,577.1,3371.4,2434,0.0,15.0
1782663611.5411355,2026-06-28T16:20:11Z,1.0,566.4,3382.1,2434,0.0,15.0
1782663616.541849,2026-06-28T16:20:16Z,1.2,557.1,3391.4,2434,0.0,15.0
1782663621.5425658,2026-06-28T16:20:21Z,1.0,554.8,3393.7,2434,0.0,15.0
1782663626.5432754,2026-06-28T16:20:26Z,1.2,556.4,3392.1,2434,0.0,15.0
1782663631.543991,2026-06-28T16:20:31Z,1.1,553.5,3395.0,2434,0.0,15.0
1782663636.544689,2026-06-28T16:20:36Z,1.3,554.9,3393.6,2434,0.0,15.0
1782663641.54538,2026-06-28T16:20:41Z,1.1,553.6,3394.9,2434,0.0,15.0
1782663646.5461276,2026-06-28T16:20:46Z,1.2,551.0,3397.4,2434,0.0,15.0
1782663651.546843,2026-06-28T16:20:51Z,1.2,551.9,3396.5,2434,0.2,15.0
1782663656.5475557,2026-06-28T16:20:56Z,1.2,550.9,3397.5,2434,0.0,15.0
1782663661.5482657,2026-06-28T16:21:01Z,1.3,550.6,3397.8,2434,0.0,15.0
1782663666.54899,2026-06-28T16:21:06Z,1.1,549.4,3399.0,2434,0.0,15.0
1782663671.5497136,2026-06-28T16:21:11Z,1.2,555.9,3392.5,2434,0.0,15.0
1782663676.5529575,2026-06-28T16:21:16Z,1.3,553.2,3395.2,2434,0.0,15.0
1782663681.553681,2026-06-28T16:21:21Z,1.2,551.6,3396.7,2434,0.0,15.0
