timestamp_unix,timestamp_iso,direction,msg_type,size_bytes,processing_ms
1782314546.235,2026-06-24T16:22:26,incoming,BootNotification,144,0.000
1782314546.240,2026-06-24T16:22:26,outgoing,CallResult,127,0.000
1782314546.279,2026-06-24T16:22:26,incoming,Heartbeat,57,0.000
1782314546.282,2026-06-24T16:22:26,outgoing,CallResult,81,0.000
1782314546.290,2026-06-24T16:22:26,incoming,MeterValues,859,0.000
1782314546.293,2026-06-24T16:22:26,incoming,MeterValues,0,0.286
1782314546.295,2026-06-24T16:22:26,outgoing,CallResult,45,0.000
1782314556.299,2026-06-24T16:22:36,incoming,Heartbeat,57,0.000
1782314556.300,2026-06-24T16:22:36,outgoing,CallResult,81,0.000
1782314556.343,2026-06-24T16:22:36,incoming,MeterValues,859,0.000
1782314556.345,2026-06-24T16:22:36,incoming,MeterValues,0,0.208
1782314556.345,2026-06-24T16:22:36,outgoing,CallResult,45,0.000
1782314566.340,2026-06-24T16:22:46,incoming,Heartbeat,57,0.000
1782314566.341,2026-06-24T16:22:46,outgoing,CallResult,81,0.000
1782314566.385,2026-06-24T16:22:46,incoming,MeterValues,859,0.000
1782314566.387,2026-06-24T16:22:46,incoming,MeterValues,0,0.279
1782314566.387,2026-06-24T16:22:46,outgoing,CallResult,45,0.000
1782314576.361,2026-06-24T16:22:56,incoming,Heartbeat,57,0.000
1782314576.362,2026-06-24T16:22:56,outgoing,CallResult,81,0.000
1782314576.429,2026-06-24T16:22:56,incoming,MeterValues,859,0.000
1782314576.431,2026-06-24T16:22:56,incoming,MeterValues,0,0.278
1782314576.431,2026-06-24T16:22:56,outgoing,CallResult,45,0.000
1782314586.380,2026-06-24T16:23:06,incoming,Heartbeat,57,0.000
1782314586.381,2026-06-24T16:23:06,outgoing,CallResult,81,0.000
1782314586.475,2026-06-24T16:23:06,incoming,MeterValues,859,0.000
1782314586.478,2026-06-24T16:23:06,incoming,MeterValues,0,0.275
1782314586.478,2026-06-24T16:23:06,outgoing,CallResult,45,0.000
1782314596.400,2026-06-24T16:23:16,incoming,Heartbeat,57,0.000
1782314596.401,2026-06-24T16:23:16,outgoing,CallResult,81,0.000
1782314596.524,2026-06-24T16:23:16,incoming,MeterValues,859,0.000
1782314596.526,2026-06-24T16:23:16,incoming,MeterValues,0,0.333
1782314596.527,2026-06-24T16:23:16,outgoing,CallResult,45,0.000
1782314606.414,2026-06-24T16:23:26,incoming,Heartbeat,57,0.000
1782314606.415,2026-06-24T16:23:26,outgoing,CallResult,81,0.000
1782314606.580,2026-06-24T16:23:26,incoming,MeterValues,859,0.000
1782314606.583,2026-06-24T16:23:26,incoming,MeterValues,0,0.425
1782314606.583,2026-06-24T16:23:26,outgoing,CallResult,45,0.000
