timestamp_unix,timestamp_iso,cmd,bursts,success,transmit_ms,read_ms,pandapower_ms,cycle_ms
1782663526.380,2026-06-28T17:18:46,LOWER,1,1,10.635,0.006,3306.262,3306.382
1782663527.121,2026-06-28T17:18:47,LOWER,1,1,9.221,0.008,29.223,29.336
1782663531.153,2026-06-28T17:18:51,LOWER,1,1,9.178,0.006,28.728,28.826
1782663535.249,2026-06-28T17:18:55,LOWER,1,1,9.229,0.007,45.020,45.156
1782663539.344,2026-06-28T17:18:59,LOWER,1,1,14.610,0.007,43.318,43.451
1782663543.340,2026-06-28T17:19:03,LOWER,1,1,9.800,0.008,45.169,45.303
1782663547.436,2026-06-28T17:19:07,LOWER,1,1,10.025,0.008,43.434,43.569
1782663551.487,2026-06-28T17:19:11,LOWER,1,1,9.897,0.008,43.480,43.612
1782663555.581,2026-06-28T17:19:15,LOWER,1,1,6.219,0.007,44.634,44.770
