timestamp_unix,timestamp_iso,direction,msg_type,size_bytes,processing_ms
1782236617.949,2026-06-23T18:43:37,incoming,BootNotification,144,0.000
1782236617.953,2026-06-23T18:43:37,outgoing,CallResult,127,0.000
1782236617.994,2026-06-23T18:43:37,incoming,Heartbeat,57,0.000
1782236617.995,2026-06-23T18:43:37,outgoing,CallResult,81,0.000
1782236618.006,2026-06-23T18:43:38,incoming,MeterValues,859,0.000
1782236618.009,2026-06-23T18:43:38,incoming,MeterValues,0,0.415
1782236618.010,2026-06-23T18:43:38,outgoing,CallResult,45,0.000
1782236628.021,2026-06-23T18:43:48,incoming,Heartbeat,57,0.000
1782236628.021,2026-06-23T18:43:48,outgoing,CallResult,81,0.000
1782236628.043,2026-06-23T18:43:48,incoming,MeterValues,859,0.000
1782236628.045,2026-06-23T18:43:48,incoming,MeterValues,0,0.345
1782236628.045,2026-06-23T18:43:48,outgoing,CallResult,45,0.000
1782236638.928,2026-06-23T18:43:58,incoming,Heartbeat,57,0.000
1782236638.929,2026-06-23T18:43:58,outgoing,CallResult,81,0.000
1782236638.938,2026-06-23T18:43:58,incoming,MeterValues,859,0.000
1782236638.941,2026-06-23T18:43:58,incoming,MeterValues,0,0.327
1782236638.941,2026-06-23T18:43:58,outgoing,CallResult,45,0.000
1782236648.949,2026-06-23T18:44:08,incoming,Heartbeat,57,0.000
1782236648.950,2026-06-23T18:44:08,outgoing,CallResult,81,0.000
1782236648.975,2026-06-23T18:44:08,incoming,MeterValues,859,0.000
1782236648.978,2026-06-23T18:44:08,incoming,MeterValues,0,0.340
1782236648.978,2026-06-23T18:44:08,outgoing,CallResult,45,0.000
1782236659.376,2026-06-23T18:44:19,incoming,Heartbeat,57,0.000
1782236659.377,2026-06-23T18:44:19,outgoing,CallResult,81,0.000
1782236659.386,2026-06-23T18:44:19,incoming,MeterValues,875,0.000
1782236659.388,2026-06-23T18:44:19,incoming,MeterValues,0,0.301
1782236659.388,2026-06-23T18:44:19,outgoing,CallResult,45,0.000
1782236669.398,2026-06-23T18:44:29,incoming,Heartbeat,57,0.000
1782236669.399,2026-06-23T18:44:29,outgoing,CallResult,81,0.000
1782236669.424,2026-06-23T18:44:29,incoming,MeterValues,877,0.000
1782236669.427,2026-06-23T18:44:29,incoming,MeterValues,0,0.419
1782236669.427,2026-06-23T18:44:29,outgoing,CallResult,45,0.000
1782236679.456,2026-06-23T18:44:39,incoming,Heartbeat,57,0.000
1782236679.457,2026-06-23T18:44:39,outgoing,CallResult,81,0.000
1782236680.120,2026-06-23T18:44:40,incoming,MeterValues,887,0.000
1782236680.123,2026-06-23T18:44:40,incoming,MeterValues,0,0.449
1782236680.123,2026-06-23T18:44:40,outgoing,CallResult,45,0.000
1782236689.481,2026-06-23T18:44:49,incoming,Heartbeat,57,0.000
1782236689.482,2026-06-23T18:44:49,outgoing,CallResult,81,0.000
1782236690.163,2026-06-23T18:44:50,incoming,MeterValues,877,0.000
1782236690.166,2026-06-23T18:44:50,incoming,MeterValues,0,0.412
1782236690.166,2026-06-23T18:44:50,outgoing,CallResult,45,0.000
1782236692.505,2026-06-23T18:44:52,outgoing,SetVariables,461,0.000
1782236692.547,2026-06-23T18:44:52,incoming,CallResult,472,0.000
1782236697.352,2026-06-23T18:44:57,outgoing,SetVariables,461,0.000
1782236697.981,2026-06-23T18:44:57,incoming,CallResult,472,0.000
1782236699.500,2026-06-23T18:44:59,incoming,Heartbeat,57,0.000
1782236699.501,2026-06-23T18:44:59,outgoing,CallResult,81,0.000
1782236700.499,2026-06-23T18:45:00,incoming,MeterValues,876,0.000
1782236700.501,2026-06-23T18:45:00,incoming,MeterValues,0,0.434
1782236700.502,2026-06-23T18:45:00,outgoing,CallResult,45,0.000
1782236703.083,2026-06-23T18:45:03,outgoing,SetVariables,461,0.000
1782236703.217,2026-06-23T18:45:03,incoming,CallResult,472,0.000
1782236709.518,2026-06-23T18:45:09,incoming,Heartbeat,57,0.000
1782236709.519,2026-06-23T18:45:09,outgoing,CallResult,81,0.000
1782236710.581,2026-06-23T18:45:10,incoming,MeterValues,877,0.000
1782236710.584,2026-06-23T18:45:10,incoming,MeterValues,0,0.283
1782236710.584,2026-06-23T18:45:10,outgoing,CallResult,45,0.000
1782236719.537,2026-06-23T18:45:19,incoming,Heartbeat,57,0.000
1782236719.538,2026-06-23T18:45:19,outgoing,CallResult,81,0.000
1782236720.720,2026-06-23T18:45:20,incoming,MeterValues,877,0.000
1782236720.723,2026-06-23T18:45:20,incoming,MeterValues,0,0.274
1782236720.723,2026-06-23T18:45:20,outgoing,CallResult,45,0.000
1782236729.560,2026-06-23T18:45:29,incoming,Heartbeat,57,0.000
1782236729.561,2026-06-23T18:45:29,outgoing,CallResult,81,0.000
1782236730.754,2026-06-23T18:45:30,incoming,MeterValues,886,0.000
1782236730.756,2026-06-23T18:45:30,incoming,MeterValues,0,0.277
1782236730.756,2026-06-23T18:45:30,outgoing,CallResult,45,0.000
1782236739.698,2026-06-23T18:45:39,incoming,Heartbeat,57,0.000
1782236739.699,2026-06-23T18:45:39,outgoing,CallResult,81,0.000
