timestamp_unix,timestamp_iso,direction,size_bytes,cumulative_rx_bytes,cumulative_tx_bytes
1782663615.541,2026-06-28T17:20:15,rx,45,45,0
1782663616.579,2026-06-28T17:20:16,tx,12,45,12
1782663619.010,2026-06-28T17:20:19,rx,47,92,12
1782663621.578,2026-06-28T17:20:21,tx,38,92,50
1782663623.067,2026-06-28T17:20:23,rx,25,117,50
1782663624.518,2026-06-28T17:20:24,tx,46,117,96
1782663627.081,2026-06-28T17:20:27,rx,2186,2303,96
1782663629.540,2026-06-28T17:20:29,tx,27,2303,123
1782663630.453,2026-06-28T17:20:30,rx,26,2329,123
1782663631.365,2026-06-28T17:20:31,tx,32,2329,155
1782663632.576,2026-06-28T17:20:32,rx,27,2356,155
1782663633.845,2026-06-28T17:20:33,tx,271,2356,426
1782663634.696,2026-06-28T17:20:34,rx,29,2385,426
1782663635.489,2026-06-28T17:20:35,tx,27,2385,453
1782663636.416,2026-06-28T17:20:36,rx,60,2445,453
1782663637.219,2026-06-28T17:20:37,tx,64,2445,517
1782663637.937,2026-06-28T17:20:37,rx,112,2557,517
1782663638.927,2026-06-28T17:20:38,tx,425,2557,942
1782663639.709,2026-06-28T17:20:39,rx,25,2582,942
1782663640.199,2026-06-28T17:20:40,tx,27,2582,969
1782663640.611,2026-06-28T17:20:40,rx,25,2607,969
1782663641.035,2026-06-28T17:20:41,tx,27,2607,996
1782663641.490,2026-06-28T17:20:41,rx,32,2639,996
1782663641.960,2026-06-28T17:20:41,tx,30,2639,1026
1782663642.402,2026-06-28T17:20:42,rx,32,2671,1026
1782663642.859,2026-06-28T17:20:42,tx,30,2671,1056
1782663643.273,2026-06-28T17:20:43,rx,32,2703,1056
1782663643.678,2026-06-28T17:20:43,tx,30,2703,1086
1782663644.147,2026-06-28T17:20:44,rx,32,2735,1086
1782663644.622,2026-06-28T17:20:44,tx,30,2735,1116
1782663645.197,2026-06-28T17:20:45,rx,27,2762,1116
1782663645.855,2026-06-28T17:20:45,tx,27,2762,1143
1782663646.515,2026-06-28T17:20:46,rx,38,2800,1143
1782663647.173,2026-06-28T17:20:47,tx,27,2800,1170
1782663648.090,2026-06-28T17:20:48,rx,40,2840,1170
1782663648.964,2026-06-28T17:20:48,tx,64,2840,1234
1782663649.388,2026-06-28T17:20:49,rx,40,2880,1234
1782663649.799,2026-06-28T17:20:49,tx,64,2880,1298
1782663650.234,2026-06-28T17:20:50,rx,41,2921,1298
1782663650.665,2026-06-28T17:20:50,tx,64,2921,1362
1782663651.047,2026-06-28T17:20:51,rx,41,2962,1362
1782663651.491,2026-06-28T17:20:51,tx,64,2962,1426
1782663651.927,2026-06-28T17:20:51,rx,41,3003,1426
1782663652.307,2026-06-28T17:20:52,tx,64,3003,1490
1782663652.720,2026-06-28T17:20:52,rx,41,3044,1490
1782663653.139,2026-06-28T17:20:53,tx,64,3044,1554
1782663653.503,2026-06-28T17:20:53,rx,41,3085,1554
1782663653.852,2026-06-28T17:20:53,tx,64,3085,1618
1782663654.255,2026-06-28T17:20:54,rx,41,3126,1618
1782663654.667,2026-06-28T17:20:54,tx,64,3126,1682
1782663655.027,2026-06-28T17:20:55,rx,41,3167,1682
1782663655.400,2026-06-28T17:20:55,tx,64,3167,1746
1782663655.796,2026-06-28T17:20:55,rx,41,3208,1746
1782663656.216,2026-06-28T17:20:56,tx,64,3208,1810
1782663656.548,2026-06-28T17:20:56,rx,41,3249,1810
1782663656.943,2026-06-28T17:20:56,tx,65,3249,1875
1782663657.322,2026-06-28T17:20:57,rx,41,3290,1875
1782663657.680,2026-06-28T17:20:57,tx,65,3290,1940
1782663658.035,2026-06-28T17:20:58,rx,41,3331,1940
1782663658.420,2026-06-28T17:20:58,tx,65,3331,2005
1782663658.804,2026-06-28T17:20:58,rx,41,3372,2005
1782663659.147,2026-06-28T17:20:59,tx,65,3372,2070
1782663659.547,2026-06-28T17:20:59,rx,41,3413,2070
1782663659.945,2026-06-28T17:20:59,tx,65,3413,2135
1782663660.283,2026-06-28T17:21:00,rx,41,3454,2135
1782663660.625,2026-06-28T17:21:00,tx,65,3454,2200
1782663661.000,2026-06-28T17:21:00,rx,41,3495,2200
1782663661.413,2026-06-28T17:21:01,tx,65,3495,2265
1782663661.732,2026-06-28T17:21:01,rx,41,3536,2265
1782663662.481,2026-06-28T17:21:02,tx,65,3536,2330
1782663663.239,2026-06-28T17:21:03,rx,41,3577,2330
1782663663.548,2026-06-28T17:21:03,tx,65,3577,2395
1782663663.871,2026-06-28T17:21:03,rx,41,3618,2395
1782663664.233,2026-06-28T17:21:04,tx,65,3618,2460
1782663664.581,2026-06-28T17:21:04,rx,41,3659,2460
1782663664.894,2026-06-28T17:21:04,tx,65,3659,2525
1782663665.205,2026-06-28T17:21:05,rx,41,3700,2525
1782663665.562,2026-06-28T17:21:05,tx,65,3700,2590
1782663665.922,2026-06-28T17:21:05,rx,41,3741,2590
1782663666.235,2026-06-28T17:21:06,tx,65,3741,2655
1782663666.585,2026-06-28T17:21:06,rx,41,3782,2655
1782663666.948,2026-06-28T17:21:06,tx,65,3782,2720
1782663667.252,2026-06-28T17:21:07,rx,41,3823,2720
1782663667.622,2026-06-28T17:21:07,tx,65,3823,2785
1782663667.980,2026-06-28T17:21:07,rx,41,3864,2785
1782663668.285,2026-06-28T17:21:08,tx,65,3864,2850
1782663668.580,2026-06-28T17:21:08,rx,41,3905,2850
1782663668.930,2026-06-28T17:21:08,tx,65,3905,2915
1782663669.273,2026-06-28T17:21:09,rx,41,3946,2915
1782663669.566,2026-06-28T17:21:09,tx,64,3946,2979
1782663669.867,2026-06-28T17:21:09,rx,41,3987,2979
1782663670.214,2026-06-28T17:21:10,tx,64,3987,3043
1782663670.553,2026-06-28T17:21:10,rx,41,4028,3043
1782663670.848,2026-06-28T17:21:10,tx,64,4028,3107
1782663671.156,2026-06-28T17:21:11,rx,41,4069,3107
1782663671.497,2026-06-28T17:21:11,tx,64,4069,3171
1782663671.835,2026-06-28T17:21:11,rx,41,4110,3171
1782663672.170,2026-06-28T17:21:12,tx,64,4110,3235
1782663672.517,2026-06-28T17:21:12,rx,41,4151,3235
1782663672.814,2026-06-28T17:21:12,tx,64,4151,3299
1782663673.103,2026-06-28T17:21:13,rx,41,4192,3299
1782663673.445,2026-06-28T17:21:13,tx,64,4192,3363
1782663673.783,2026-06-28T17:21:13,rx,41,4233,3363
1782663674.088,2026-06-28T17:21:14,tx,64,4233,3427
1782663674.379,2026-06-28T17:21:14,rx,41,4274,3427
1782663675.087,2026-06-28T17:21:15,tx,64,4274,3491
1782663675.811,2026-06-28T17:21:15,rx,41,4315,3491
1782663676.102,2026-06-28T17:21:16,tx,64,4315,3555
1782663676.385,2026-06-28T17:21:16,rx,41,4356,3555
1782663676.704,2026-06-28T17:21:16,tx,64,4356,3619
1782663677.011,2026-06-28T17:21:17,rx,41,4397,3619
1782663677.345,2026-06-28T17:21:17,tx,64,4397,3683
1782663677.628,2026-06-28T17:21:17,rx,41,4438,3683
1782663677.914,2026-06-28T17:21:17,tx,64,4438,3747
1782663678.235,2026-06-28T17:21:18,rx,41,4479,3747
1782663678.558,2026-06-28T17:21:18,tx,64,4479,3811
1782663678.877,2026-06-28T17:21:18,rx,41,4520,3811
1782663679.159,2026-06-28T17:21:19,tx,64,4520,3875
1782663679.453,2026-06-28T17:21:19,rx,41,4561,3875
1782663679.773,2026-06-28T17:21:19,tx,64,4561,3939
1782663680.087,2026-06-28T17:21:20,rx,41,4602,3939
1782663680.370,2026-06-28T17:21:20,tx,64,4602,4003
1782663680.642,2026-06-28T17:21:20,rx,41,4643,4003
1782663680.958,2026-06-28T17:21:20,tx,64,4643,4067
1782663681.279,2026-06-28T17:21:21,rx,41,4684,4067
1782663681.591,2026-06-28T17:21:21,tx,64,4684,4131
1782663681.871,2026-06-28T17:21:21,rx,41,4725,4131
1782663682.165,2026-06-28T17:21:22,tx,64,4725,4195
1782663682.477,2026-06-28T17:21:22,rx,41,4766,4195
1782663682.782,2026-06-28T17:21:22,tx,64,4766,4259
1782663683.048,2026-06-28T17:21:23,rx,41,4807,4259
1782663683.313,2026-06-28T17:21:23,tx,64,4807,4323
1782663683.624,2026-06-28T17:21:23,rx,41,4848,4323
1782663683.907,2026-06-28T17:21:23,tx,64,4848,4387
1782663684.204,2026-06-28T17:21:24,rx,41,4889,4387
1782663684.453,2026-06-28T17:21:24,tx,64,4889,4451
1782663684.704,2026-06-28T17:21:24,rx,41,4930,4451
1782663685.000,2026-06-28T17:21:24,tx,64,4930,4515
1782663685.298,2026-06-28T17:21:25,rx,41,4971,4515
1782663685.555,2026-06-28T17:21:25,tx,64,4971,4579
1782663685.806,2026-06-28T17:21:25,rx,41,5012,4579
1782663686.530,2026-06-28T17:21:26,tx,64,5012,4643
1782663687.247,2026-06-28T17:21:27,rx,41,5053,4643
1782663687.534,2026-06-28T17:21:27,tx,64,5053,4707
1782663687.793,2026-06-28T17:21:27,rx,41,5094,4707
