n_evs,sim_duration_min,evs_reached_target,mean_time_to_target_min,min_time_to_target_min,max_time_to_target_min,mean_final_soc_pct,peak_trafo_loading_pct,min_bus2_voltage_pu,total_higher_cmds,total_lower_cmds,grid_stress_ticks,v2g_enabled,out_csv
1,14.1,1,14.1,14.1,14.1,80.0,46.8,0.968,0,28,0,False,/mnt/data/SynologyDrive/Leeds/MSc Project/Coding/UoL_V2G/Logs/multi_ev_1ev_nov2g_20260624_182934.csv
5,59.9,1,32.8,32.8,32.8,60.7,49.4,0.9675,32,15,0,False,/mnt/data/SynologyDrive/Leeds/MSc Project/Coding/UoL_V2G/Logs/multi_ev_5ev_nov2g_20260624_182934.csv
