timestamp_unix,timestamp_iso,direction,size_bytes,cumulative_rx_bytes,cumulative_tx_bytes
1782663669.624,2026-06-28T17:21:09,rx,64,2979,3946
1782663669.920,2026-06-28T17:21:09,tx,41,2979,3987
1782663670.272,2026-06-28T17:21:10,rx,64,3043,3987
1782663670.606,2026-06-28T17:21:10,tx,41,3043,4028
1782663670.906,2026-06-28T17:21:10,rx,64,3107,4028
1782663671.209,2026-06-28T17:21:11,tx,41,3107,4069
1782663671.554,2026-06-28T17:21:11,rx,64,3171,4069
1782663671.889,2026-06-28T17:21:11,tx,41,3171,4110
1782663672.227,2026-06-28T17:21:12,rx,64,3235,4110
1782663672.571,2026-06-28T17:21:12,tx,41,3235,4151
1782663672.871,2026-06-28T17:21:12,rx,64,3299,4151
1782663673.157,2026-06-28T17:21:13,tx,41,3299,4192
1782663673.502,2026-06-28T17:21:13,rx,64,3363,4192
1782663673.836,2026-06-28T17:21:13,tx,41,3363,4233
1782663674.146,2026-06-28T17:21:14,rx,64,3427,4233
1782663674.433,2026-06-28T17:21:14,tx,41,3427,4274
1782663675.145,2026-06-28T17:21:15,rx,64,3491,4274
1782663675.864,2026-06-28T17:21:15,tx,41,3491,4315
1782663676.160,2026-06-28T17:21:16,rx,64,3555,4315
1782663676.438,2026-06-28T17:21:16,tx,41,3555,4356
1782663676.762,2026-06-28T17:21:16,rx,64,3619,4356
1782663677.064,2026-06-28T17:21:17,tx,41,3619,4397
1782663677.403,2026-06-28T17:21:17,rx,64,3683,4397
1782663677.681,2026-06-28T17:21:17,tx,41,3683,4438
1782663677.972,2026-06-28T17:21:17,rx,64,3747,4438
1782663678.288,2026-06-28T17:21:18,tx,41,3747,4479
1782663678.616,2026-06-28T17:21:18,rx,64,3811,4479
1782663678.931,2026-06-28T17:21:18,tx,41,3811,4520
1782663679.217,2026-06-28T17:21:19,rx,64,3875,4520
1782663679.507,2026-06-28T17:21:19,tx,41,3875,4561
1782663679.831,2026-06-28T17:21:19,rx,64,3939,4561
1782663680.141,2026-06-28T17:21:20,tx,41,3939,4602
1782663680.428,2026-06-28T17:21:20,rx,64,4003,4602
1782663680.696,2026-06-28T17:21:20,tx,41,4003,4643
1782663681.016,2026-06-28T17:21:21,rx,64,4067,4643
1782663681.333,2026-06-28T17:21:21,tx,41,4067,4684
1782663681.648,2026-06-28T17:21:21,rx,64,4131,4684
1782663681.924,2026-06-28T17:21:21,tx,41,4131,4725
1782663682.222,2026-06-28T17:21:22,rx,64,4195,4725
1782663682.531,2026-06-28T17:21:22,tx,41,4195,4766
1782663682.839,2026-06-28T17:21:22,rx,64,4259,4766
1782663683.102,2026-06-28T17:21:23,tx,41,4259,4807
1782663683.371,2026-06-28T17:21:23,rx,64,4323,4807
1782663683.678,2026-06-28T17:21:23,tx,41,4323,4848
1782663683.965,2026-06-28T17:21:23,rx,64,4387,4848
1782663684.257,2026-06-28T17:21:24,tx,41,4387,4889
1782663684.510,2026-06-28T17:21:24,rx,64,4451,4889
1782663684.758,2026-06-28T17:21:24,tx,41,4451,4930
1782663685.057,2026-06-28T17:21:25,rx,64,4515,4930
1782663685.351,2026-06-28T17:21:25,tx,41,4515,4971
1782663685.612,2026-06-28T17:21:25,rx,64,4579,4971
1782663685.860,2026-06-28T17:21:25,tx,41,4579,5012
1782663686.588,2026-06-28T17:21:26,rx,64,4643,5012
1782663687.300,2026-06-28T17:21:27,tx,41,4643,5053
1782663687.592,2026-06-28T17:21:27,rx,64,4707,5053
1782663687.847,2026-06-28T17:21:27,tx,41,4707,5094
1782663688.117,2026-06-28T17:21:28,rx,64,4771,5094
1782663688.394,2026-06-28T17:21:28,tx,41,4771,5135
1782663688.723,2026-06-28T17:21:28,rx,64,4835,5135
1782663688.983,2026-06-28T17:21:28,tx,41,4835,5176
1782663689.248,2026-06-28T17:21:29,rx,64,4899,5176
1782663689.533,2026-06-28T17:21:29,tx,41,4899,5217
1782663689.837,2026-06-28T17:21:29,rx,64,4963,5217
1782663690.081,2026-06-28T17:21:30,tx,41,4963,5258
1782663690.348,2026-06-28T17:21:30,rx,64,5027,5258
1782663690.640,2026-06-28T17:21:30,tx,41,5027,5299
1782663690.950,2026-06-28T17:21:30,rx,64,5091,5299
1782663691.245,2026-06-28T17:21:31,tx,41,5091,5340
1782663691.531,2026-06-28T17:21:31,rx,64,5155,5340
1782663691.763,2026-06-28T17:21:31,tx,41,5155,5381
1782663692.016,2026-06-28T17:21:32,rx,64,5219,5381
1782663692.303,2026-06-28T17:21:32,tx,41,5219,5422
1782663692.597,2026-06-28T17:21:32,rx,64,5283,5422
1782663692.826,2026-06-28T17:21:32,tx,41,5283,5463
1782663693.089,2026-06-28T17:21:33,rx,64,5347,5463
1782663693.375,2026-06-28T17:21:33,tx,41,5347,5504
1782663693.658,2026-06-28T17:21:33,rx,64,5411,5504
1782663693.904,2026-06-28T17:21:33,tx,41,5411,5545
1782663694.139,2026-06-28T17:21:34,rx,64,5475,5545
1782663694.429,2026-06-28T17:21:34,tx,41,5475,5586
1782663694.708,2026-06-28T17:21:34,rx,64,5539,5586
1782663694.945,2026-06-28T17:21:34,tx,41,5539,5627
1782663695.224,2026-06-28T17:21:35,rx,64,5603,5627
1782663695.510,2026-06-28T17:21:35,tx,41,5603,5668
1782663695.753,2026-06-28T17:21:35,rx,64,5667,5668
1782663696.039,2026-06-28T17:21:36,tx,41,5667,5709
1782663696.690,2026-06-28T17:21:36,rx,64,5731,5709
1782663696.922,2026-06-28T17:21:36,tx,41,5731,5750
1782663697.179,2026-06-28T17:21:37,rx,64,5795,5750
1782663697.456,2026-06-28T17:21:37,tx,41,5795,5791
1782663697.752,2026-06-28T17:21:37,rx,64,5859,5791
1782663697.998,2026-06-28T17:21:37,tx,41,5859,5832
1782663698.256,2026-06-28T17:21:38,rx,64,5923,5832
1782663698.918,2026-06-28T17:21:38,tx,41,5923,5873
1782663699.207,2026-06-28T17:21:39,rx,64,5987,5873
1782663699.449,2026-06-28T17:21:39,tx,41,5987,5914
1782663699.690,2026-06-28T17:21:39,rx,64,6051,5914
1782663699.940,2026-06-28T17:21:39,tx,41,6051,5955
1782663700.230,2026-06-28T17:21:40,rx,64,6115,5955
1782663700.508,2026-06-28T17:21:40,tx,41,6115,5996
