timestamp_unix,timestamp_iso,cmd,bursts,success,transmit_ms,read_ms,pandapower_ms,cycle_ms
1782314687.591,2026-06-24T16:24:47,LOWER,1,1,9.444,0.003,2815.973,2816.092
1782314688.863,2026-06-24T16:24:48,LOWER,1,1,9.428,0.005,28.354,28.450
1782314692.893,2026-06-24T16:24:52,LOWER,1,1,3.402,0.006,28.344,28.439
1782314696.923,2026-06-24T16:24:56,LOWER,1,1,2.908,0.007,43.835,43.963
1782314701.016,2026-06-24T16:25:01,LOWER,1,1,3.327,0.007,43.852,43.986
1782314705.109,2026-06-24T16:25:05,LOWER,1,1,3.454,0.007,41.540,41.661
1782314709.214,2026-06-24T16:25:09,LOWER,1,1,13.594,0.007,43.979,44.112
1782314713.217,2026-06-24T16:25:13,LOWER,1,1,10.051,0.007,44.024,44.154
1782314717.315,2026-06-24T16:25:17,LOWER,1,1,10.044,0.021,43.135,43.280
1782314721.410,2026-06-24T16:25:21,LOWER,1,1,8.024,0.006,41.659,41.776
1782314725.509,2026-06-24T16:25:25,LOWER,1,1,11.181,0.009,42.978,43.110
1782314729.606,2026-06-24T16:25:29,LOWER,1,1,10.262,0.008,42.963,43.097
1782314733.662,2026-06-24T16:25:33,LOWER,1,1,10.660,0.007,43.716,43.865
1782314737.759,2026-06-24T16:25:37,LOWER,1,1,10.067,0.007,42.903,43.038
1782314741.756,2026-06-24T16:25:41,LOWER,1,1,3.608,0.007,44.364,44.503
1782314745.849,2026-06-24T16:25:45,LOWER,1,1,3.582,0.008,41.660,41.793
1782314749.946,2026-06-24T16:25:49,LOWER,1,1,6.562,0.007,44.166,44.302
1782314754.045,2026-06-24T16:25:54,LOWER,1,1,9.671,0.007,43.858,43.995
1782314758.046,2026-06-24T16:25:58,LOWER,1,1,8.146,0.007,44.040,44.173
1782314762.145,2026-06-24T16:26:02,LOWER,1,1,9.522,0.008,44.037,44.171
1782314766.099,2026-06-24T16:26:06,LOWER,1,1,5.700,0.008,44.188,44.321
1782314770.198,2026-06-24T16:26:10,LOWER,1,1,7.290,0.007,44.029,44.164
1782314774.298,2026-06-24T16:26:14,LOWER,1,1,8.944,0.007,43.433,43.568
1782314778.298,2026-06-24T16:26:18,LOWER,1,1,8.070,0.007,44.008,44.143
1782314782.293,2026-06-24T16:26:22,LOWER,1,1,3.602,0.007,43.983,44.120
1782314786.394,2026-06-24T16:26:26,LOWER,1,1,8.541,0.008,44.142,44.276
1782314790.490,2026-06-24T16:26:30,LOWER,1,1,4.319,0.008,44.347,44.487
1782314794.540,2026-06-24T16:26:34,LOWER,1,1,3.145,0.007,43.531,43.668
1782314798.645,2026-06-24T16:26:38,LOWER,1,1,13.654,0.008,44.291,44.427
1782314802.644,2026-06-24T16:26:42,LOWER,1,1,9.925,0.007,44.408,44.558
1782314806.649,2026-06-24T16:26:46,LOWER,1,1,11.573,0.008,44.188,44.325
1782314810.655,2026-06-24T16:26:50,LOWER,1,1,13.606,0.008,44.155,44.292
1782314814.756,2026-06-24T16:26:54,LOWER,1,1,9.659,0.007,44.065,44.198
1782314818.863,2026-06-24T16:26:58,LOWER,1,1,8.533,0.008,44.752,44.890
1782314822.815,2026-06-24T16:27:02,LOWER,1,1,3.180,0.008,44.881,45.031
1782314826.918,2026-06-24T16:27:06,LOWER,1,1,8.884,0.007,43.695,43.833
1782314830.914,2026-06-24T16:27:10,LOWER,1,1,3.306,0.008,44.261,44.395
1782314834.930,2026-06-24T16:27:14,LOWER,1,1,15.193,0.007,52.495,52.630
1782314838.968,2026-06-24T16:27:18,LOWER,1,1,8.681,0.006,28.719,28.817
1782314843.067,2026-06-24T16:27:23,LOWER,1,1,8.819,0.007,43.636,43.769
1782314847.173,2026-06-24T16:27:27,LOWER,1,1,9.300,0.007,43.865,44.003
1782314851.121,2026-06-24T16:27:31,HOLD,0,1,9.300,0.010,45.139,45.255
1782314855.150,2026-06-24T16:27:35,HOLD,0,1,9.300,0.006,28.735,28.820
1782314859.225,2026-06-24T16:27:39,HOLD,0,1,9.300,0.008,43.755,43.874
1782314863.313,2026-06-24T16:27:43,HOLD,0,1,9.300,0.007,43.645,43.761
1782314867.403,2026-06-24T16:27:47,HOLD,0,1,9.300,0.007,43.742,43.861
1782314871.489,2026-06-24T16:27:51,HOLD,0,1,9.300,0.008,41.719,41.818
1782314875.577,2026-06-24T16:27:55,HOLD,0,1,9.300,0.007,43.805,43.921
1782314879.664,2026-06-24T16:27:59,HOLD,0,1,9.300,0.008,43.552,43.670
1782314883.752,2026-06-24T16:28:03,HOLD,0,1,9.300,0.008,43.646,43.760
1782314887.799,2026-06-24T16:28:07,HOLD,0,1,9.300,0.007,44.491,44.595
1782314891.890,2026-06-24T16:28:11,HOLD,0,1,9.300,0.008,41.726,41.831
1782314895.978,2026-06-24T16:28:15,HOLD,0,1,9.300,0.009,43.550,43.669
1782314900.067,2026-06-24T16:28:20,HOLD,0,1,9.300,0.007,44.171,44.286
1782314904.157,2026-06-24T16:28:24,HOLD,0,1,9.300,0.008,44.309,44.424
1782314908.246,2026-06-24T16:28:28,HOLD,0,1,9.300,0.008,41.290,41.397
1782314912.335,2026-06-24T16:28:32,HOLD,0,1,9.300,0.007,43.640,43.743
1782314916.424,2026-06-24T16:28:36,HOLD,0,1,9.300,0.008,42.049,42.151
1782314920.514,2026-06-24T16:28:40,HOLD,0,1,9.300,0.009,43.684,43.800
1782314924.604,2026-06-24T16:28:44,HOLD,0,1,9.300,0.008,42.699,42.808
1782314928.664,2026-06-24T16:28:48,LOWER,1,1,11.329,0.007,44.371,44.501
1782314932.658,2026-06-24T16:28:52,HIGHER,1,1,3.632,0.008,44.167,44.294
1782314936.751,2026-06-24T16:28:56,HIGHER,1,1,3.336,0.007,41.691,41.811
1782314940.849,2026-06-24T16:29:00,HIGHER,1,1,9.150,0.008,42.672,42.788
1782314944.844,2026-06-24T16:29:04,HIGHER,1,1,3.020,0.009,43.661,43.788
1782314948.943,2026-06-24T16:29:08,HIGHER,1,1,3.697,0.008,45.448,45.576
1782314953.039,2026-06-24T16:29:13,HIGHER,1,1,5.920,0.007,44.303,44.447
1782314957.139,2026-06-24T16:29:17,HIGHER,1,1,10.261,0.007,43.843,43.973
1782314961.095,2026-06-24T16:29:21,HIGHER,1,1,6.866,0.008,43.672,43.797
1782314965.098,2026-06-24T16:29:25,HIGHER,1,1,9.665,0.008,43.604,43.732
1782314969.117,2026-06-24T16:29:29,HIGHER,1,1,27.370,0.008,44.170,44.299
1782314973.114,2026-06-24T16:29:33,HIGHER,1,1,5.693,0.007,43.920,44.048
1782314977.204,2026-06-24T16:29:37,HIGHER,1,1,3.507,0.007,42.820,42.947
1782314981.305,2026-06-24T16:29:41,HIGHER,1,1,9.725,0.008,43.333,43.460
1782314985.362,2026-06-24T16:29:45,HIGHER,1,1,9.782,0.007,43.428,43.561
1782314989.455,2026-06-24T16:29:49,HIGHER,1,1,3.047,0.007,43.674,43.819
1782314993.558,2026-06-24T16:29:53,HIGHER,1,1,13.402,0.007,43.399,43.527
1782314997.554,2026-06-24T16:29:57,HIGHER,1,1,9.276,0.008,43.302,43.431
1782315001.646,2026-06-24T16:30:01,HIGHER,1,1,3.126,0.009,42.927,43.055
1782315005.735,2026-06-24T16:30:05,HIGHER,1,1,5.071,0.008,43.487,43.617
1782315009.828,2026-06-24T16:30:09,HIGHER,1,1,3.286,0.008,42.998,43.133
1782315013.929,2026-06-24T16:30:13,HIGHER,1,1,7.862,0.008,43.593,43.720
1782315018.030,2026-06-24T16:30:18,HIGHER,1,1,9.751,0.007,43.323,43.450
1782315021.993,2026-06-24T16:30:21,HIGHER,1,1,12.992,0.007,44.809,44.937
1782315025.991,2026-06-24T16:30:25,HIGHER,1,1,9.020,0.008,43.228,43.357
1782315029.987,2026-06-24T16:30:29,HIGHER,1,1,3.560,0.007,42.907,43.052
1782315034.083,2026-06-24T16:30:34,HIGHER,1,1,5.025,0.008,43.254,43.397
1782315038.178,2026-06-24T16:30:38,HIGHER,1,1,4.478,0.008,44.220,44.349
1782315042.269,2026-06-24T16:30:42,HIGHER,1,1,4.143,0.008,43.355,43.486
1782315046.365,2026-06-24T16:30:46,HIGHER,1,1,11.233,0.009,42.926,43.055
1782315050.329,2026-06-24T16:30:50,HIGHER,1,1,12.424,0.009,48.418,48.548
1782315054.420,2026-06-24T16:30:54,HIGHER,1,1,6.267,0.008,43.131,43.246
1782315058.520,2026-06-24T16:30:58,HIGHER,1,1,9.027,0.007,43.614,43.721
1782315062.615,2026-06-24T16:31:02,HIGHER,1,1,8.634,0.006,42.860,42.989
1782315066.615,2026-06-24T16:31:06,HIGHER,1,1,8.585,0.008,44.636,44.762
1782315070.711,2026-06-24T16:31:10,HIGHER,1,1,9.662,0.009,43.189,43.318
1782315074.808,2026-06-24T16:31:14,HIGHER,1,1,9.100,0.008,42.929,43.056
1782315078.901,2026-06-24T16:31:18,HIGHER,1,1,6.699,0.007,43.063,43.191
1782315082.954,2026-06-24T16:31:22,HIGHER,1,1,9.037,0.008,43.151,43.279
1782315087.052,2026-06-24T16:31:27,HIGHER,1,1,11.088,0.007,43.107,43.235
1782315091.147,2026-06-24T16:31:31,HIGHER,1,1,9.596,0.008,41.789,41.904
1782315095.245,2026-06-24T16:31:35,HIGHER,1,1,9.521,0.007,42.640,42.763
1782315099.338,2026-06-24T16:31:39,HIGHER,1,1,3.363,0.008,42.940,43.068
1782315103.431,2026-06-24T16:31:43,HIGHER,1,1,3.846,0.007,43.150,43.282
1782315107.525,2026-06-24T16:31:47,HIGHER,1,1,9.042,0.008,42.977,43.106
1782315111.624,2026-06-24T16:31:51,HIGHER,1,1,9.189,0.008,43.162,43.293
1782315115.733,2026-06-24T16:31:55,HIGHER,1,1,19.275,0.007,42.901,43.029
1782315119.823,2026-06-24T16:31:59,HIGHER,1,1,3.296,0.007,42.954,43.085
1782315123.869,2026-06-24T16:32:03,HIGHER,1,1,3.573,0.007,41.187,41.305
1782315127.958,2026-06-24T16:32:07,HIGHER,1,1,3.464,0.007,43.174,43.302
1782315132.059,2026-06-24T16:32:12,HIGHER,1,1,9.817,0.008,43.240,43.369
1782315136.154,2026-06-24T16:32:16,HIGHER,1,1,8.260,0.007,42.902,43.029
1782315140.256,2026-06-24T16:32:20,HIGHER,1,1,14.017,0.008,43.085,43.214
1782315144.257,2026-06-24T16:32:24,HIGHER,1,1,11.385,0.008,42.951,43.078
1782315148.353,2026-06-24T16:32:28,HIGHER,1,1,9.076,0.007,43.277,43.407
1782315152.453,2026-06-24T16:32:32,HIGHER,1,1,8.265,0.009,44.146,44.274
1782315156.553,2026-06-24T16:32:36,HIGHER,1,1,12.872,0.007,43.210,43.338
1782315160.605,2026-06-24T16:32:40,HIGHER,1,1,9.092,0.008,41.323,41.439
1782315164.715,2026-06-24T16:32:44,HIGHER,1,1,19.816,0.007,42.279,42.395
1782315168.712,2026-06-24T16:32:48,HIGHER,1,1,9.148,0.007,41.972,42.091
1782315172.713,2026-06-24T16:32:52,HIGHER,1,1,9.600,0.008,41.282,41.400
1782315176.815,2026-06-24T16:32:56,HIGHER,1,1,13.823,0.009,43.422,43.550
