timestamp_unix,timestamp_iso,cmd,bursts,success,transmit_ms,read_ms,pandapower_ms,cycle_ms
1782236621.465,2026-06-23T18:43:41,LOWER,1,1,9.114,0.003,2853.328,2853.451
1782236622.736,2026-06-23T18:43:42,LOWER,1,1,8.314,0.004,29.400,29.497
1782236626.775,2026-06-23T18:43:46,LOWER,1,1,9.428,0.005,29.198,29.295
1782236630.816,2026-06-23T18:43:50,LOWER,1,1,8.200,0.007,42.473,42.593
1782236634.868,2026-06-23T18:43:54,LOWER,1,1,3.138,0.006,29.330,29.428
1782236638.950,2026-06-23T18:43:58,LOWER,1,1,8.384,0.007,42.120,42.248
1782236643.049,2026-06-23T18:44:03,LOWER,1,1,8.507,0.007,44.239,44.374
1782236647.146,2026-06-23T18:44:07,LOWER,1,1,9.352,0.007,42.837,42.963
1782236651.152,2026-06-23T18:44:11,LOWER,1,1,12.537,0.007,44.271,44.404
1782236655.151,2026-06-23T18:44:15,LOWER,1,1,9.042,0.006,43.089,43.215
1782236659.253,2026-06-23T18:44:19,LOWER,1,1,10.570,0.007,42.861,42.989
1782236663.310,2026-06-23T18:44:23,LOWER,1,1,10.540,0.007,44.429,44.570
1782236667.317,2026-06-23T18:44:27,LOWER,1,1,16.719,0.007,45.537,45.692
1782236671.325,2026-06-23T18:44:31,LOWER,1,1,13.224,0.006,44.205,44.342
1782236675.327,2026-06-23T18:44:35,LOWER,1,1,9.950,0.007,44.575,44.713
1782236679.326,2026-06-23T18:44:39,LOWER,1,1,4.082,0.007,44.237,44.372
1782236683.432,2026-06-23T18:44:43,LOWER,1,1,10.276,0.007,44.585,44.722
1782236687.389,2026-06-23T18:44:47,LOWER,1,1,9.439,0.007,43.989,44.123
1782236691.391,2026-06-23T18:44:51,LOWER,1,1,10.772,0.007,44.386,44.538
1782236695.397,2026-06-23T18:44:55,LOWER,1,1,10.615,0.007,44.381,44.517
1782236699.407,2026-06-23T18:44:59,LOWER,1,1,12.805,0.007,44.337,44.473
1782236703.513,2026-06-23T18:45:03,LOWER,1,1,9.894,0.007,43.634,43.773
1782236707.609,2026-06-23T18:45:07,LOWER,1,1,9.838,0.007,43.218,43.352
1782236711.665,2026-06-23T18:45:11,LOWER,1,1,11.530,0.007,43.372,43.507
1782236715.761,2026-06-23T18:45:15,LOWER,1,1,8.222,0.007,43.443,43.577
1782236719.769,2026-06-23T18:45:19,LOWER,1,1,10.648,0.006,43.311,43.447
1782236723.863,2026-06-23T18:45:23,LOWER,1,1,6.336,0.007,43.051,43.185
1782236727.959,2026-06-23T18:45:27,LOWER,1,1,9.399,0.007,43.244,43.379
1782236732.058,2026-06-23T18:45:32,LOWER,1,1,9.938,0.008,43.130,43.267
1782236736.157,2026-06-23T18:45:36,LOWER,1,1,10.187,0.006,43.074,43.209
1782236740.256,2026-06-23T18:45:40,LOWER,1,1,9.739,0.007,44.426,44.564
1782236744.361,2026-06-23T18:45:44,LOWER,1,1,10.846,0.007,44.929,45.066
1782236748.410,2026-06-23T18:45:48,LOWER,1,1,6.609,0.007,41.721,41.844
1782236752.517,2026-06-23T18:45:52,LOWER,1,1,16.042,0.007,45.062,45.199
1782236756.513,2026-06-23T18:45:56,LOWER,1,1,8.837,0.007,43.680,43.813
1782236760.613,2026-06-23T18:46:00,LOWER,1,1,12.188,0.006,42.039,42.159
1782236764.613,2026-06-23T18:46:04,LOWER,1,1,9.480,0.007,43.730,43.863
1782236768.712,2026-06-23T18:46:08,LOWER,1,1,9.395,0.007,44.741,44.893
1782236772.813,2026-06-23T18:46:12,LOWER,1,1,11.534,0.007,42.255,42.371
1782236776.912,2026-06-23T18:46:16,LOWER,1,1,9.701,0.007,42.608,42.726
1782236780.860,2026-06-23T18:46:20,HOLD,0,1,9.701,0.007,44.150,44.271
1782236784.956,2026-06-23T18:46:24,HOLD,0,1,9.701,0.007,45.396,45.516
