timestamp_unix,timestamp_iso,cmd,bursts,success,transmit_ms,read_ms,pandapower_ms,cycle_ms
1782663602.682,2026-06-28T17:20:02,LOWER,1,1,9.034,0.007,2846.107,2846.226
1782663603.950,2026-06-28T17:20:03,LOWER,1,1,3.652,0.007,30.098,30.198
1782663607.981,2026-06-28T17:20:07,LOWER,1,1,4.691,0.006,29.490,29.588
1782663612.011,2026-06-28T17:20:12,LOWER,1,1,3.834,0.008,44.146,44.281
1782663616.105,2026-06-28T17:20:16,LOWER,1,1,9.852,0.007,44.209,44.340
1782663620.208,2026-06-28T17:20:20,LOWER,1,1,16.922,0.008,44.072,44.207
1782663624.205,2026-06-28T17:20:24,LOWER,1,1,10.608,0.008,43.791,43.924
1782663628.328,2026-06-28T17:20:28,LOWER,1,1,33.374,0.007,44.387,44.523
1782663632.326,2026-06-28T17:20:32,LOWER,1,1,9.516,0.007,44.067,44.204
1782663636.426,2026-06-28T17:20:36,LOWER,1,1,9.296,0.007,43.782,43.913
1782663640.528,2026-06-28T17:20:40,LOWER,1,1,9.907,0.008,43.993,44.126
1782663644.492,2026-06-28T17:20:44,LOWER,1,1,17.357,0.007,44.025,44.158
1782663648.487,2026-06-28T17:20:48,LOWER,1,1,9.233,0.008,42.519,42.645
1782663652.586,2026-06-28T17:20:52,LOWER,1,1,10.926,0.008,41.703,41.825
1782663656.582,2026-06-28T17:20:56,LOWER,1,1,7.019,0.008,44.010,44.147
1782663660.679,2026-06-28T17:21:00,LOWER,1,1,5.989,0.007,41.992,42.112
1782663664.775,2026-06-28T17:21:04,LOWER,1,1,6.472,0.007,44.139,44.271
1782663668.875,2026-06-28T17:21:08,LOWER,1,1,10.406,0.007,44.192,44.331
1782663672.848,2026-06-28T17:21:12,LOWER,1,1,25.654,0.009,44.277,44.409
1782663676.852,2026-06-28T17:21:16,LOWER,1,1,9.608,0.008,43.945,44.079
1782663680.951,2026-06-28T17:21:20,LOWER,1,1,9.761,0.008,44.074,44.208
1782663684.953,2026-06-28T17:21:24,LOWER,1,1,10.863,0.008,44.186,44.323
1782663689.051,2026-06-28T17:21:29,LOWER,1,1,10.004,0.007,44.473,44.611
1782663693.147,2026-06-28T17:21:33,LOWER,1,1,4.796,0.008,43.962,44.097
1782663697.247,2026-06-28T17:21:37,LOWER,1,1,9.852,0.009,44.025,44.161
1782663701.200,2026-06-28T17:21:41,LOWER,1,1,4.791,0.007,44.774,44.906
1782663705.296,2026-06-28T17:21:45,LOWER,1,1,4.457,0.008,44.701,44.819
1782663709.396,2026-06-28T17:21:49,LOWER,1,1,5.704,0.008,43.822,43.955
1782663713.497,2026-06-28T17:21:53,LOWER,1,1,10.922,0.008,43.934,44.069
1782663717.496,2026-06-28T17:21:57,LOWER,1,1,8.452,0.008,44.528,44.664
1782663721.501,2026-06-28T17:22:01,LOWER,1,1,10.755,0.008,44.297,44.433
1782663725.607,2026-06-28T17:22:05,LOWER,1,1,13.993,0.007,43.608,43.744
