timestamp_unix,timestamp_iso,loop_ms,voltage_v,current_a,power_kw,soc_pct
1782234828.953,2026-06-23T18:13:48,0.912,20000.00,0.000,0.000,0.0
1782234833.047,2026-06-23T18:13:53,0.794,550.40,0.000,0.000,50.0
1782234837.008,2026-06-23T18:13:57,1.208,550.40,18.170,10.001,50.0
1782234841.008,2026-06-23T18:14:01,0.817,550.40,27.250,14.998,50.0
1782234845.110,2026-06-23T18:14:05,1.000,550.40,36.340,20.002,50.0
1782234849.110,2026-06-23T18:14:09,0.649,550.40,45.420,24.999,50.0
1782234853.202,2026-06-23T18:14:13,0.597,550.40,54.510,30.002,50.0
1782234857.296,2026-06-23T18:14:17,0.735,550.40,63.590,35.000,50.0
1782234861.390,2026-06-23T18:14:21,0.727,550.40,72.670,39.998,50.0
1782234865.443,2026-06-23T18:14:25,1.113,550.40,81.760,45.001,50.0
1782234869.545,2026-06-23T18:14:29,0.995,550.40,90.840,49.998,50.0
1782234873.612,2026-06-23T18:14:33,1.345,550.40,99.930,55.001,50.0
1782234877.695,2026-06-23T18:14:37,1.172,550.40,109.000,59.994,50.0
1782234881.783,2026-06-23T18:14:41,0.707,550.40,118.100,65.002,51.0
1782234885.876,2026-06-23T18:14:45,0.853,550.40,127.200,70.011,51.0
1782234889.972,2026-06-23T18:14:49,0.727,550.40,136.300,75.020,51.0
1782234894.074,2026-06-23T18:14:54,0.735,550.40,145.300,79.973,51.0
1782234898.170,2026-06-23T18:14:58,0.953,550.40,154.400,84.982,51.0
1782234902.269,2026-06-23T18:15:02,0.662,550.40,163.500,89.990,51.0
1782234906.317,2026-06-23T18:15:06,0.731,550.40,172.600,94.999,51.0
1782234910.406,2026-06-23T18:15:10,0.579,550.40,181.700,100.008,51.0
1782234914.498,2026-06-23T18:15:14,0.607,550.40,190.800,105.016,51.0
1782234918.587,2026-06-23T18:15:18,0.661,550.40,199.900,110.025,52.0
1782234922.684,2026-06-23T18:15:22,0.755,550.40,208.900,114.979,52.0
1782234926.777,2026-06-23T18:15:26,0.649,550.40,218.000,119.987,52.0
1782234930.874,2026-06-23T18:15:30,0.524,550.40,227.100,124.996,52.0
1782234934.972,2026-06-23T18:15:34,0.699,550.40,236.200,130.004,52.0
1782234939.067,2026-06-23T18:15:39,1.391,550.40,245.300,135.013,52.0
1782234943.170,2026-06-23T18:15:43,0.656,550.40,254.400,140.022,53.0
1782234947.222,2026-06-23T18:15:47,0.813,550.40,263.400,144.975,53.0
1782234951.319,2026-06-23T18:15:51,0.513,550.40,272.500,149.984,53.0
1782234955.309,2026-06-23T18:15:55,0.622,550.40,281.600,154.993,53.0
1782234959.394,2026-06-23T18:15:59,0.756,550.40,281.600,154.993,53.0
1782234963.485,2026-06-23T18:16:03,0.657,550.40,281.600,154.993,54.0
1782234967.571,2026-06-23T18:16:07,0.513,550.40,281.600,154.993,54.0
1782234971.660,2026-06-23T18:16:11,0.638,550.40,281.600,154.993,54.0
1782234975.746,2026-06-23T18:16:15,0.596,550.40,281.600,154.993,54.0
1782234979.836,2026-06-23T18:16:19,0.698,550.40,281.600,154.993,55.0
1782234983.881,2026-06-23T18:16:23,0.713,550.40,281.600,154.993,55.0
1782234987.973,2026-06-23T18:16:27,0.845,550.40,281.600,154.993,55.0
1782234992.060,2026-06-23T18:16:32,0.511,550.40,281.600,154.993,55.0
1782234996.147,2026-06-23T18:16:36,0.515,550.40,281.600,154.993,55.0
1782235000.234,2026-06-23T18:16:40,0.584,550.40,281.600,154.993,56.0
1782235004.324,2026-06-23T18:16:44,0.520,550.40,281.600,154.993,56.0
1782235008.408,2026-06-23T18:16:48,0.742,550.40,281.600,154.993,56.0
1782235012.496,2026-06-23T18:16:52,0.693,550.40,281.600,154.993,56.0
1782235016.586,2026-06-23T18:16:56,0.508,550.40,281.600,154.993,56.0
1782235020.673,2026-06-23T18:17:00,0.503,550.40,281.600,154.993,57.0
1782235024.717,2026-06-23T18:17:04,0.739,550.40,281.600,154.993,57.0
1782235028.805,2026-06-23T18:17:08,0.648,550.40,281.600,154.993,57.0
1782235032.891,2026-06-23T18:17:12,0.669,550.40,281.600,154.993,57.0
1782235036.986,2026-06-23T18:17:16,0.648,550.40,281.600,154.993,57.0
1782235041.077,2026-06-23T18:17:21,0.982,550.40,281.600,154.993,58.0
1782235045.168,2026-06-23T18:17:25,0.518,550.40,281.600,154.993,58.0
1782235049.264,2026-06-23T18:17:29,0.793,550.40,281.600,154.993,58.0
1782235053.360,2026-06-23T18:17:33,0.510,550.40,281.600,154.993,58.0
1782235057.452,2026-06-23T18:17:37,0.625,550.40,281.600,154.993,58.0
1782235061.544,2026-06-23T18:17:41,0.518,550.40,281.600,154.993,59.0
1782235065.591,2026-06-23T18:17:45,0.611,550.40,281.600,154.993,59.0
1782235069.686,2026-06-23T18:17:49,0.600,550.40,281.600,154.993,59.0
1782235073.780,2026-06-23T18:17:53,0.507,550.40,281.600,154.993,59.0
1782235077.879,2026-06-23T18:17:57,0.528,550.40,281.600,154.993,59.0
1782235081.988,2026-06-23T18:18:01,0.592,550.40,281.600,154.993,60.0
1782235086.001,2026-06-23T18:18:06,0.693,550.40,263.400,144.975,60.0
1782235090.011,2026-06-23T18:18:10,0.572,550.40,245.300,135.013,60.0
1782235094.119,2026-06-23T18:18:14,0.624,550.40,227.100,124.996,60.0
1782235098.081,2026-06-23T18:18:18,0.694,550.40,208.900,114.979,60.0
1782235102.086,2026-06-23T18:18:22,0.557,550.40,190.800,105.016,61.0
1782235106.086,2026-06-23T18:18:26,0.811,550.40,172.600,94.999,61.0
1782235110.092,2026-06-23T18:18:30,0.527,550.40,154.400,84.982,61.0
1782235114.198,2026-06-23T18:18:34,0.503,550.40,136.300,75.020,61.0
1782235118.300,2026-06-23T18:18:38,0.511,550.40,118.100,65.002,61.0
1782235122.355,2026-06-23T18:18:42,0.501,550.40,99.930,55.001,61.0
1782235126.455,2026-06-23T18:18:46,0.521,550.40,81.760,45.001,61.0
1782235130.556,2026-06-23T18:18:50,0.638,550.40,63.590,35.000,61.0
1782235134.561,2026-06-23T18:18:54,0.543,550.40,45.420,24.999,61.0
1782235138.556,2026-06-23T18:18:58,0.558,550.40,27.250,14.998,61.0
1782235142.651,2026-06-23T18:19:02,0.663,550.40,9.084,5.000,61.0
1782235146.738,2026-06-23T18:19:06,0.578,550.40,0.000,0.000,61.0
1782235150.825,2026-06-23T18:19:10,0.603,550.40,0.000,0.000,61.0
1782235154.869,2026-06-23T18:19:14,0.504,550.40,0.000,0.000,61.0
1782235158.952,2026-06-23T18:19:18,0.554,550.40,0.000,0.000,61.0
1782235163.036,2026-06-23T18:19:23,0.679,550.40,0.000,0.000,61.0
1782235167.120,2026-06-23T18:19:27,0.691,550.40,0.000,0.000,61.0
1782235171.203,2026-06-23T18:19:31,0.521,550.40,0.000,0.000,61.0
1782235175.288,2026-06-23T18:19:35,0.493,550.40,0.000,0.000,61.0
1782235179.372,2026-06-23T18:19:39,0.509,550.40,0.000,0.000,61.0
1782235183.457,2026-06-23T18:19:43,0.592,550.40,0.000,0.000,61.0
1782235187.546,2026-06-23T18:19:47,0.557,550.40,0.000,0.000,61.0
1782235191.635,2026-06-23T18:19:51,0.692,550.40,0.000,0.000,61.0
