timestamp_unix,timestamp_iso,direction,msg_type,size_bytes,processing_ms
1782234787.514,2026-06-23T18:13:07,incoming,BootNotification,144,0.000
1782234787.518,2026-06-23T18:13:07,outgoing,CallResult,127,0.000
1782234787.556,2026-06-23T18:13:07,incoming,Heartbeat,57,0.000
1782234787.558,2026-06-23T18:13:07,outgoing,CallResult,81,0.000
1782234787.567,2026-06-23T18:13:07,incoming,MeterValues,859,0.000
1782234787.569,2026-06-23T18:13:07,incoming,MeterValues,0,0.273
1782234787.570,2026-06-23T18:13:07,outgoing,CallResult,45,0.000
1782234797.581,2026-06-23T18:13:17,incoming,Heartbeat,57,0.000
1782234797.582,2026-06-23T18:13:17,outgoing,CallResult,81,0.000
1782234797.618,2026-06-23T18:13:17,incoming,MeterValues,859,0.000
1782234797.619,2026-06-23T18:13:17,incoming,MeterValues,0,0.192
1782234797.619,2026-06-23T18:13:17,outgoing,CallResult,45,0.000
1782234808.985,2026-06-23T18:13:28,incoming,Heartbeat,57,0.000
1782234808.986,2026-06-23T18:13:28,outgoing,CallResult,81,0.000
1782234808.994,2026-06-23T18:13:28,incoming,MeterValues,859,0.000
1782234808.996,2026-06-23T18:13:28,incoming,MeterValues,0,0.276
1782234808.996,2026-06-23T18:13:28,outgoing,CallResult,45,0.000
1782234819.911,2026-06-23T18:13:39,incoming,Heartbeat,57,0.000
1782234819.912,2026-06-23T18:13:39,outgoing,CallResult,81,0.000
1782234819.923,2026-06-23T18:13:39,incoming,MeterValues,859,0.000
1782234819.924,2026-06-23T18:13:39,incoming,MeterValues,0,0.182
1782234819.925,2026-06-23T18:13:39,outgoing,CallResult,45,0.000
1782234830.399,2026-06-23T18:13:50,incoming,Heartbeat,57,0.000
1782234830.401,2026-06-23T18:13:50,outgoing,CallResult,81,0.000
1782234830.409,2026-06-23T18:13:50,incoming,MeterValues,872,0.000
1782234830.412,2026-06-23T18:13:50,incoming,MeterValues,0,0.410
1782234830.412,2026-06-23T18:13:50,outgoing,CallResult,45,0.000
1782234840.617,2026-06-23T18:14:00,incoming,Heartbeat,57,0.000
1782234840.618,2026-06-23T18:14:00,outgoing,CallResult,81,0.000
1782234840.627,2026-06-23T18:14:00,incoming,MeterValues,875,0.000
1782234840.630,2026-06-23T18:14:00,incoming,MeterValues,0,0.323
1782234840.630,2026-06-23T18:14:00,outgoing,CallResult,45,0.000
1782234850.638,2026-06-23T18:14:10,incoming,Heartbeat,57,0.000
1782234850.639,2026-06-23T18:14:10,outgoing,CallResult,81,0.000
1782234850.664,2026-06-23T18:14:10,incoming,MeterValues,887,0.000
1782234850.666,2026-06-23T18:14:10,incoming,MeterValues,0,0.396
1782234850.667,2026-06-23T18:14:10,outgoing,CallResult,45,0.000
1782234860.844,2026-06-23T18:14:20,incoming,Heartbeat,57,0.000
1782234860.845,2026-06-23T18:14:20,outgoing,CallResult,81,0.000
1782234860.855,2026-06-23T18:14:20,incoming,MeterValues,878,0.000
1782234860.857,2026-06-23T18:14:20,incoming,MeterValues,0,0.269
1782234860.857,2026-06-23T18:14:20,outgoing,CallResult,45,0.000
1782234870.862,2026-06-23T18:14:30,incoming,Heartbeat,57,0.000
1782234870.863,2026-06-23T18:14:30,outgoing,CallResult,81,0.000
1782234870.892,2026-06-23T18:14:30,incoming,MeterValues,878,0.000
1782234870.894,2026-06-23T18:14:30,incoming,MeterValues,0,0.231
1782234870.894,2026-06-23T18:14:30,outgoing,CallResult,45,0.000
1782234881.121,2026-06-23T18:14:41,incoming,Heartbeat,57,0.000
1782234881.122,2026-06-23T18:14:41,outgoing,CallResult,81,0.000
1782234881.137,2026-06-23T18:14:41,incoming,MeterValues,876,0.000
1782234881.140,2026-06-23T18:14:41,incoming,MeterValues,0,0.266
1782234881.140,2026-06-23T18:14:41,outgoing,CallResult,45,0.000
1782234891.442,2026-06-23T18:14:51,incoming,Heartbeat,57,0.000
1782234891.443,2026-06-23T18:14:51,outgoing,CallResult,81,0.000
1782234891.453,2026-06-23T18:14:51,incoming,MeterValues,886,0.000
1782234891.455,2026-06-23T18:14:51,incoming,MeterValues,0,0.266
1782234891.455,2026-06-23T18:14:51,outgoing,CallResult,45,0.000
1782234901.727,2026-06-23T18:15:01,incoming,Heartbeat,57,0.000
1782234901.728,2026-06-23T18:15:01,outgoing,CallResult,81,0.000
1782234901.739,2026-06-23T18:15:01,incoming,MeterValues,877,0.000
1782234901.741,2026-06-23T18:15:01,incoming,MeterValues,0,0.322
1782234901.742,2026-06-23T18:15:01,outgoing,CallResult,45,0.000
1782234911.749,2026-06-23T18:15:11,incoming,Heartbeat,57,0.000
1782234911.750,2026-06-23T18:15:11,outgoing,CallResult,81,0.000
1782234911.773,2026-06-23T18:15:11,incoming,MeterValues,880,0.000
1782234911.776,2026-06-23T18:15:11,incoming,MeterValues,0,0.233
1782234911.776,2026-06-23T18:15:11,outgoing,CallResult,45,0.000
1782234922.021,2026-06-23T18:15:22,incoming,Heartbeat,57,0.000
1782234922.022,2026-06-23T18:15:22,outgoing,CallResult,81,0.000
1782234922.031,2026-06-23T18:15:22,incoming,MeterValues,880,0.000
1782234922.034,2026-06-23T18:15:22,incoming,MeterValues,0,0.273
1782234922.034,2026-06-23T18:15:22,outgoing,CallResult,45,0.000
1782234932.044,2026-06-23T18:15:32,incoming,Heartbeat,57,0.000
1782234932.045,2026-06-23T18:15:32,outgoing,CallResult,81,0.000
1782234932.065,2026-06-23T18:15:32,incoming,MeterValues,880,0.000
1782234932.067,2026-06-23T18:15:32,incoming,MeterValues,0,0.258
1782234932.068,2026-06-23T18:15:32,outgoing,CallResult,45,0.000
1782234942.348,2026-06-23T18:15:42,incoming,Heartbeat,57,0.000
1782234942.350,2026-06-23T18:15:42,outgoing,CallResult,81,0.000
1782234942.358,2026-06-23T18:15:42,incoming,MeterValues,880,0.000
1782234942.361,2026-06-23T18:15:42,incoming,MeterValues,0,0.259
1782234942.361,2026-06-23T18:15:42,outgoing,CallResult,45,0.000
1782234952.367,2026-06-23T18:15:52,incoming,Heartbeat,57,0.000
1782234952.368,2026-06-23T18:15:52,outgoing,CallResult,81,0.000
1782234952.394,2026-06-23T18:15:52,incoming,MeterValues,879,0.000
1782234952.396,2026-06-23T18:15:52,incoming,MeterValues,0,0.273
1782234952.397,2026-06-23T18:15:52,outgoing,CallResult,45,0.000
1782234962.405,2026-06-23T18:16:02,incoming,Heartbeat,57,0.000
1782234962.406,2026-06-23T18:16:02,outgoing,CallResult,81,0.000
1782234962.434,2026-06-23T18:16:02,incoming,MeterValues,880,0.000
1782234962.437,2026-06-23T18:16:02,incoming,MeterValues,0,0.298
1782234962.437,2026-06-23T18:16:02,outgoing,CallResult,45,0.000
1782234972.632,2026-06-23T18:16:12,incoming,Heartbeat,57,0.000
1782234972.633,2026-06-23T18:16:12,outgoing,CallResult,81,0.000
1782234972.643,2026-06-23T18:16:12,incoming,MeterValues,880,0.000
1782234972.645,2026-06-23T18:16:12,incoming,MeterValues,0,0.262
1782234972.645,2026-06-23T18:16:12,outgoing,CallResult,45,0.000
1782234978.792,2026-06-23T18:16:18,outgoing,SetVariables,461,0.000
1782234979.088,2026-06-23T18:16:19,incoming,CallResult,472,0.000
1782234982.144,2026-06-23T18:16:22,outgoing,SetVariables,461,0.000
1782234982.317,2026-06-23T18:16:22,incoming,CallResult,472,0.000
1782234982.775,2026-06-23T18:16:22,incoming,Heartbeat,57,0.000
1782234982.776,2026-06-23T18:16:22,outgoing,CallResult,81,0.000
1782234982.784,2026-06-23T18:16:22,incoming,MeterValues,880,0.000
1782234982.786,2026-06-23T18:16:22,incoming,MeterValues,0,0.262
1782234982.787,2026-06-23T18:16:22,outgoing,CallResult,45,0.000
1782234984.541,2026-06-23T18:16:24,outgoing,SetVariables,461,0.000
1782234984.621,2026-06-23T18:16:24,incoming,CallResult,472,0.000
1782234992.795,2026-06-23T18:16:32,incoming,Heartbeat,57,0.000
1782234992.796,2026-06-23T18:16:32,outgoing,CallResult,81,0.000
1782234992.819,2026-06-23T18:16:32,incoming,MeterValues,880,0.000
