timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,ev.py_pid,ev.py_cpu_pct,ev.py_rss_mb
1782663598.7041755,2026-06-28T16:19:58Z,25.4,168.0,247.2,1348,0.0,14.6
1782663603.7075555,2026-06-28T16:20:03Z,21.0,188.6,226.6,1348,0.2,14.6
1782663608.7108033,2026-06-28T16:20:08Z,31.4,222.9,192.3,1348,0.0,14.6
1782663613.714559,2026-06-28T16:20:13Z,49.3,244.2,171.0,1348,0.0,14.6
1782663618.7179112,2026-06-28T16:20:18Z,33.3,258.8,156.4,1348,0.0,14.6
1782663623.7225478,2026-06-28T16:20:23Z,25.5,275.3,140.0,1348,0.2,14.6
1782663628.726731,2026-06-28T16:20:28Z,30.0,284.2,131.0,1348,0.2,14.6
1782663633.729614,2026-06-28T16:20:33Z,21.3,284.2,131.1,1348,0.0,14.6
1782663638.7323654,2026-06-28T16:20:38Z,32.1,291.4,123.8,1348,0.0,14.6
1782663643.7352426,2026-06-28T16:20:43Z,34.6,301.1,114.1,1348,0.2,14.6
1782663648.7434478,2026-06-28T16:20:48Z,38.2,312.1,103.1,1348,0.0,14.6
1782663653.7468033,2026-06-28T16:20:53Z,36.0,313.0,102.2,1348,0.0,14.6
1782663658.7501884,2026-06-28T16:20:58Z,38.7,313.1,102.1,1348,0.0,14.6
1782663663.7538724,2026-06-28T16:21:03Z,33.9,317.4,97.8,1348,0.2,14.6
1782663668.7597175,2026-06-28T16:21:08Z,34.4,317.6,97.7,1348,0.0,14.6
1782663673.7625177,2026-06-28T16:21:13Z,33.6,317.9,97.3,1348,0.2,14.6
1782663678.7661963,2026-06-28T16:21:18Z,33.1,320.7,94.5,1348,0.0,14.6
1782663683.7698364,2026-06-28T16:21:23Z,36.4,321.6,93.6,1348,0.0,14.6
1782663688.7729466,2026-06-28T16:21:28Z,25.0,321.6,93.6,1348,0.0,14.6
1782663693.7764282,2026-06-28T16:21:33Z,30.4,321.7,93.5,1348,0.2,14.6
1782663698.7804008,2026-06-28T16:21:38Z,21.9,321.8,93.4,1348,0.0,14.6
1782663703.7837837,2026-06-28T16:21:43Z,21.7,322.2,93.0,1348,0.2,14.6
1782663708.7870195,2026-06-28T16:21:48Z,30.7,322.2,93.0,1348,0.0,14.6
1782663713.790612,2026-06-28T16:21:53Z,24.3,323.1,92.1,1348,0.0,14.6
1782663718.7950013,2026-06-28T16:21:58Z,27.9,323.1,92.1,1348,0.2,14.6
1782663723.7977643,2026-06-28T16:22:03Z,22.0,323.1,92.1,1348,0.0,14.6
1782663728.8004615,2026-06-28T16:22:08Z,22.7,323.1,92.1,1348,0.2,14.6
1782663733.803445,2026-06-28T16:22:13Z,29.0,330.3,84.9,1348,0.0,14.6
1782663738.8077328,2026-06-28T16:22:18Z,34.1,330.2,85.1,1348,0.0,14.6
1782663743.811535,2026-06-28T16:22:23Z,29.0,330.0,85.3,1348,0.2,14.6
1782663748.8142717,2026-06-28T16:22:28Z,17.0,326.0,89.3,1348,0.0,14.6
1782663753.8169997,2026-06-28T16:22:33Z,29.5,325.8,89.5,1348,0.0,14.6
1782663758.8213375,2026-06-28T16:22:38Z,33.0,330.3,84.9,1348,0.2,14.6
1782663763.8249238,2026-06-28T16:22:43Z,26.3,330.5,84.8,1348,0.0,14.6
1782663768.8276408,2026-06-28T16:22:48Z,22.5,327.8,87.5,1348,0.0,14.6
1782663773.8309867,2026-06-28T16:22:53Z,31.9,330.7,84.6,1348,0.0,14.6
1782663778.8347633,2026-06-28T16:22:58Z,28.2,330.6,84.6,1348,0.0,14.6
1782663783.8390687,2026-06-28T16:23:03Z,18.4,330.2,85.0,1348,0.2,14.6
1782663788.8421288,2026-06-28T16:23:08Z,15.3,330.2,85.1,1348,0.2,14.6
1782663793.8448577,2026-06-28T16:23:13Z,16.4,330.2,85.1,1348,0.0,14.6
1782663798.8481288,2026-06-28T16:23:18Z,16.1,329.5,85.7,1348,0.0,14.6
1782663803.8508327,2026-06-28T16:23:23Z,21.9,329.5,85.7,1348,0.2,14.6
1782663808.85356,2026-06-28T16:23:28Z,17.1,329.6,85.6,1348,0.0,14.6
1782663813.8566604,2026-06-28T16:23:33Z,23.4,329.6,85.6,1348,0.0,14.6
1782663818.859731,2026-06-28T16:23:38Z,25.5,329.7,85.5,1348,0.2,14.6
1782663823.8638165,2026-06-28T16:23:43Z,16.6,329.7,85.5,1348,0.0,14.6
1782663828.866786,2026-06-28T16:23:48Z,15.5,329.7,85.5,1348,0.0,14.6
1782663833.8695443,2026-06-28T16:23:53Z,12.4,330.4,84.8,1348,0.0,14.6
1782663838.873118,2026-06-28T16:23:58Z,23.2,330.4,84.8,1348,0.0,14.6
1782663843.8764594,2026-06-28T16:24:03Z,26.4,332.0,83.2,1348,0.2,14.6
1782663848.8795583,2026-06-28T16:24:08Z,33.5,331.7,83.5,1348,0.0,14.6
1782663853.8831632,2026-06-28T16:24:13Z,14.5,328.7,86.5,1348,0.0,14.6
1782663858.886552,2026-06-28T16:24:18Z,16.7,329.7,85.6,1348,0.2,14.6
1782663863.889354,2026-06-28T16:24:23Z,12.5,329.7,85.6,1348,0.0,14.6
1782663868.8944094,2026-06-28T16:24:28Z,15.1,331.0,84.2,1348,0.0,14.6
1782663873.8974192,2026-06-28T16:24:33Z,12.4,331.0,84.2,1348,0.0,14.6
1782663878.9001162,2026-06-28T16:24:38Z,16.2,331.0,84.2,1348,0.2,14.6
1782663883.9029002,2026-06-28T16:24:43Z,14.4,331.0,84.2,1348,0.0,14.6
1782663888.907181,2026-06-28T16:24:48Z,13.7,331.1,84.1,1348,0.0,14.6
1782663893.9100008,2026-06-28T16:24:53Z,14.7,331.1,84.1,1348,0.2,14.6
1782663898.9131162,2026-06-28T16:24:58Z,18.9,330.9,84.3,1348,0.0,14.6
1782663903.9158242,2026-06-28T16:25:03Z,12.9,330.9,84.3,1348,0.2,14.6
1782663908.919296,2026-06-28T16:25:08Z,14.8,331.0,84.3,1348,0.0,14.6
1782663913.922081,2026-06-28T16:25:13Z,17.1,330.8,84.4,1348,0.0,14.6
1782663918.9256725,2026-06-28T16:25:18Z,13.6,330.8,84.4,1348,0.0,14.6
1782663923.9283464,2026-06-28T16:25:23Z,15.2,330.8,84.4,1348,0.0,14.6
1782663928.9316144,2026-06-28T16:25:28Z,22.2,332.6,82.6,1348,0.2,14.6
