timestamp_unix,timestamp_iso,direction,msg_type,size_bytes,processing_ms
1782663526.448,2026-06-28T17:18:46,incoming,BootNotification,144,0.000
1782663526.453,2026-06-28T17:18:46,outgoing,CallResult,127,0.000
1782663526.510,2026-06-28T17:18:46,incoming,Heartbeat,57,0.000
1782663526.513,2026-06-28T17:18:46,outgoing,CallResult,81,0.000
1782663526.521,2026-06-28T17:18:46,incoming,MeterValues,859,0.000
1782663526.524,2026-06-28T17:18:46,incoming,MeterValues,0,0.200
1782663526.525,2026-06-28T17:18:46,outgoing,CallResult,45,0.000
1782663536.536,2026-06-28T17:18:56,incoming,Heartbeat,57,0.000
1782663536.537,2026-06-28T17:18:56,outgoing,CallResult,81,0.000
1782663536.573,2026-06-28T17:18:56,incoming,MeterValues,859,0.000
1782663536.575,2026-06-28T17:18:56,incoming,MeterValues,0,0.295
1782663536.576,2026-06-28T17:18:56,outgoing,CallResult,45,0.000
1782663546.585,2026-06-28T17:19:06,incoming,Heartbeat,57,0.000
1782663546.586,2026-06-28T17:19:06,outgoing,CallResult,81,0.000
1782663546.623,2026-06-28T17:19:06,incoming,MeterValues,859,0.000
1782663546.626,2026-06-28T17:19:06,incoming,MeterValues,0,0.278
1782663546.626,2026-06-28T17:19:06,outgoing,CallResult,45,0.000
