timestamp_unix,timestamp_iso,direction,msg_type,size_bytes,processing_ms
1782314684.466,2026-06-24T16:24:44,incoming,BootNotification,144,0.000
1782314684.468,2026-06-24T16:24:44,outgoing,CallResult,127,0.000
1782314684.532,2026-06-24T16:24:44,incoming,Heartbeat,57,0.000
1782314684.532,2026-06-24T16:24:44,outgoing,CallResult,81,0.000
1782314684.540,2026-06-24T16:24:44,incoming,MeterValues,859,0.000
1782314684.542,2026-06-24T16:24:44,incoming,MeterValues,0,0.196
1782314684.543,2026-06-24T16:24:44,outgoing,CallResult,45,0.000
1782314694.555,2026-06-24T16:24:54,incoming,Heartbeat,57,0.000
1782314694.556,2026-06-24T16:24:54,outgoing,CallResult,81,0.000
1782314694.590,2026-06-24T16:24:54,incoming,MeterValues,859,0.000
1782314694.592,2026-06-24T16:24:54,incoming,MeterValues,0,0.285
1782314694.593,2026-06-24T16:24:54,outgoing,CallResult,45,0.000
1782314704.601,2026-06-24T16:25:04,incoming,Heartbeat,57,0.000
1782314704.602,2026-06-24T16:25:04,outgoing,CallResult,81,0.000
1782314704.625,2026-06-24T16:25:04,incoming,MeterValues,859,0.000
1782314704.627,2026-06-24T16:25:04,incoming,MeterValues,0,0.276
1782314704.627,2026-06-24T16:25:04,outgoing,CallResult,45,0.000
1782314715.444,2026-06-24T16:25:15,incoming,Heartbeat,57,0.000
1782314715.446,2026-06-24T16:25:15,outgoing,CallResult,81,0.000
1782314715.454,2026-06-24T16:25:15,incoming,MeterValues,859,0.000
1782314715.457,2026-06-24T16:25:15,incoming,MeterValues,0,0.290
1782314715.457,2026-06-24T16:25:15,outgoing,CallResult,45,0.000
1782314725.468,2026-06-24T16:25:25,incoming,Heartbeat,57,0.000
1782314725.468,2026-06-24T16:25:25,outgoing,CallResult,81,0.000
1782314725.494,2026-06-24T16:25:25,incoming,MeterValues,872,0.000
1782314725.496,2026-06-24T16:25:25,incoming,MeterValues,0,0.215
1782314725.496,2026-06-24T16:25:25,outgoing,CallResult,45,0.000
1782314735.703,2026-06-24T16:25:35,incoming,Heartbeat,57,0.000
1782314735.704,2026-06-24T16:25:35,outgoing,CallResult,81,0.000
1782314735.713,2026-06-24T16:25:35,incoming,MeterValues,875,0.000
1782314735.715,2026-06-24T16:25:35,incoming,MeterValues,0,0.269
1782314735.716,2026-06-24T16:25:35,outgoing,CallResult,45,0.000
1782314745.721,2026-06-24T16:25:45,incoming,Heartbeat,57,0.000
1782314745.722,2026-06-24T16:25:45,outgoing,CallResult,81,0.000
1782314746.090,2026-06-24T16:25:46,incoming,MeterValues,878,0.000
1782314746.092,2026-06-24T16:25:46,incoming,MeterValues,0,0.290
1782314746.093,2026-06-24T16:25:46,outgoing,CallResult,45,0.000
1782314756.099,2026-06-24T16:25:56,incoming,Heartbeat,57,0.000
1782314756.100,2026-06-24T16:25:56,outgoing,CallResult,81,0.000
1782314756.123,2026-06-24T16:25:56,incoming,MeterValues,878,0.000
1782314756.126,2026-06-24T16:25:56,incoming,MeterValues,0,0.269
1782314756.126,2026-06-24T16:25:56,outgoing,CallResult,45,0.000
1782314766.129,2026-06-24T16:26:06,incoming,Heartbeat,57,0.000
1782314766.130,2026-06-24T16:26:06,outgoing,CallResult,81,0.000
1782314766.648,2026-06-24T16:26:06,incoming,MeterValues,878,0.000
1782314766.651,2026-06-24T16:26:06,incoming,MeterValues,0,0.292
1782314766.651,2026-06-24T16:26:06,outgoing,CallResult,45,0.000
1782314776.146,2026-06-24T16:26:16,incoming,Heartbeat,57,0.000
1782314776.147,2026-06-24T16:26:16,outgoing,CallResult,81,0.000
1782314776.678,2026-06-24T16:26:16,incoming,MeterValues,877,0.000
1782314776.680,2026-06-24T16:26:16,incoming,MeterValues,0,0.284
1782314776.681,2026-06-24T16:26:16,outgoing,CallResult,45,0.000
1782314786.301,2026-06-24T16:26:26,incoming,Heartbeat,57,0.000
1782314786.302,2026-06-24T16:26:26,outgoing,CallResult,81,0.000
1782314786.908,2026-06-24T16:26:26,incoming,MeterValues,877,0.000
1782314786.910,2026-06-24T16:26:26,incoming,MeterValues,0,0.298
1782314786.911,2026-06-24T16:26:26,outgoing,CallResult,45,0.000
1782314796.319,2026-06-24T16:26:36,incoming,Heartbeat,57,0.000
1782314796.320,2026-06-24T16:26:36,outgoing,CallResult,81,0.000
1782314797.130,2026-06-24T16:26:37,incoming,MeterValues,877,0.000
1782314797.133,2026-06-24T16:26:37,incoming,MeterValues,0,0.309
1782314797.133,2026-06-24T16:26:37,outgoing,CallResult,45,0.000
1782314806.695,2026-06-24T16:26:46,incoming,Heartbeat,57,0.000
1782314806.696,2026-06-24T16:26:46,outgoing,CallResult,81,0.000
1782314807.245,2026-06-24T16:26:47,incoming,MeterValues,889,0.000
1782314807.247,2026-06-24T16:26:47,incoming,MeterValues,0,0.284
1782314807.248,2026-06-24T16:26:47,outgoing,CallResult,45,0.000
1782314816.755,2026-06-24T16:26:56,incoming,Heartbeat,57,0.000
1782314816.756,2026-06-24T16:26:56,outgoing,CallResult,81,0.000
1782314817.283,2026-06-24T16:26:57,incoming,MeterValues,878,0.000
1782314817.285,2026-06-24T16:26:57,incoming,MeterValues,0,0.295
1782314817.286,2026-06-24T16:26:57,outgoing,CallResult,45,0.000
1782314826.774,2026-06-24T16:27:06,incoming,Heartbeat,57,0.000
1782314826.775,2026-06-24T16:27:06,outgoing,CallResult,81,0.000
1782314827.441,2026-06-24T16:27:07,incoming,MeterValues,888,0.000
1782314827.443,2026-06-24T16:27:07,incoming,MeterValues,0,0.257
1782314827.444,2026-06-24T16:27:07,outgoing,CallResult,45,0.000
1782314836.946,2026-06-24T16:27:16,incoming,Heartbeat,57,0.000
1782314836.947,2026-06-24T16:27:16,outgoing,CallResult,81,0.000
1782314837.502,2026-06-24T16:27:17,incoming,MeterValues,879,0.000
1782314837.504,2026-06-24T16:27:17,incoming,MeterValues,0,0.180
1782314837.504,2026-06-24T16:27:17,outgoing,CallResult,45,0.000
1782314846.961,2026-06-24T16:27:26,incoming,Heartbeat,57,0.000
1782314846.962,2026-06-24T16:27:26,outgoing,CallResult,81,0.000
1782314847.538,2026-06-24T16:27:27,incoming,MeterValues,879,0.000
1782314847.540,2026-06-24T16:27:27,incoming,MeterValues,0,0.272
1782314847.541,2026-06-24T16:27:27,outgoing,CallResult,45,0.000
1782314857.287,2026-06-24T16:27:37,incoming,Heartbeat,57,0.000
1782314857.289,2026-06-24T16:27:37,outgoing,CallResult,81,0.000
1782314857.753,2026-06-24T16:27:37,incoming,MeterValues,880,0.000
1782314857.755,2026-06-24T16:27:37,incoming,MeterValues,0,0.268
1782314857.756,2026-06-24T16:27:37,outgoing,CallResult,45,0.000
1782314867.304,2026-06-24T16:27:47,incoming,Heartbeat,57,0.000
1782314867.305,2026-06-24T16:27:47,outgoing,CallResult,81,0.000
1782314867.787,2026-06-24T16:27:47,incoming,MeterValues,880,0.000
1782314867.790,2026-06-24T16:27:47,incoming,MeterValues,0,0.267
1782314867.790,2026-06-24T16:27:47,outgoing,CallResult,45,0.000
1782314877.479,2026-06-24T16:27:57,incoming,Heartbeat,57,0.000
1782314877.480,2026-06-24T16:27:57,outgoing,CallResult,81,0.000
1782314877.990,2026-06-24T16:27:57,incoming,MeterValues,880,0.000
1782314877.992,2026-06-24T16:27:57,incoming,MeterValues,0,0.283
1782314877.993,2026-06-24T16:27:57,outgoing,CallResult,45,0.000
1782314887.492,2026-06-24T16:28:07,incoming,Heartbeat,57,0.000
1782314887.493,2026-06-24T16:28:07,outgoing,CallResult,81,0.000
1782314888.160,2026-06-24T16:28:08,incoming,MeterValues,880,0.000
1782314888.163,2026-06-24T16:28:08,incoming,MeterValues,0,0.394
1782314888.163,2026-06-24T16:28:08,outgoing,CallResult,45,0.000
1782314897.773,2026-06-24T16:28:17,incoming,Heartbeat,57,0.000
1782314897.774,2026-06-24T16:28:17,outgoing,CallResult,81,0.000
1782314898.252,2026-06-24T16:28:18,incoming,MeterValues,880,0.000
1782314898.255,2026-06-24T16:28:18,incoming,MeterValues,0,0.318
1782314898.255,2026-06-24T16:28:18,outgoing,CallResult,45,0.000
1782314907.787,2026-06-24T16:28:27,incoming,Heartbeat,57,0.000
1782314907.788,2026-06-24T16:28:27,outgoing,CallResult,81,0.000
1782314908.286,2026-06-24T16:28:28,incoming,MeterValues,880,0.000
1782314908.289,2026-06-24T16:28:28,incoming,MeterValues,0,0.392
1782314908.289,2026-06-24T16:28:28,outgoing,CallResult,45,0.000
1782314917.877,2026-06-24T16:28:37,incoming,Heartbeat,57,0.000
1782314917.878,2026-06-24T16:28:37,outgoing,CallResult,81,0.000
1782314918.558,2026-06-24T16:28:38,incoming,MeterValues,880,0.000
1782314918.561,2026-06-24T16:28:38,incoming,MeterValues,0,0.417
1782314918.561,2026-06-24T16:28:38,outgoing,CallResult,45,0.000
1782314927.891,2026-06-24T16:28:47,incoming,Heartbeat,57,0.000
1782314927.892,2026-06-24T16:28:47,outgoing,CallResult,81,0.000
1782314928.854,2026-06-24T16:28:48,incoming,MeterValues,880,0.000
1782314928.856,2026-06-24T16:28:48,incoming,MeterValues,0,0.336
1782314928.856,2026-06-24T16:28:48,outgoing,CallResult,45,0.000
1782314937.907,2026-06-24T16:28:57,incoming,Heartbeat,57,0.000
1782314937.909,2026-06-24T16:28:57,outgoing,CallResult,81,0.000
1782314938.889,2026-06-24T16:28:58,incoming,MeterValues,879,0.000
1782314938.891,2026-06-24T16:28:58,incoming,MeterValues,0,0.280
1782314938.892,2026-06-24T16:28:58,outgoing,CallResult,45,0.000
1782314947.939,2026-06-24T16:29:07,incoming,Heartbeat,57,0.000
1782314947.940,2026-06-24T16:29:07,outgoing,CallResult,81,0.000
1782314948.924,2026-06-24T16:29:08,incoming,MeterValues,880,0.000
1782314948.927,2026-06-24T16:29:08,incoming,MeterValues,0,0.319
1782314948.927,2026-06-24T16:29:08,outgoing,CallResult,45,0.000
1782314958.188,2026-06-24T16:29:18,incoming,Heartbeat,57,0.000
1782314958.190,2026-06-24T16:29:18,outgoing,CallResult,81,0.000
1782314959.080,2026-06-24T16:29:19,incoming,MeterValues,889,0.000
1782314959.082,2026-06-24T16:29:19,incoming,MeterValues,0,0.316
1782314959.083,2026-06-24T16:29:19,outgoing,CallResult,45,0.000
1782314968.205,2026-06-24T16:29:28,incoming,Heartbeat,57,0.000
1782314968.206,2026-06-24T16:29:28,outgoing,CallResult,81,0.000
1782314969.120,2026-06-24T16:29:29,incoming,MeterValues,879,0.000
1782314969.123,2026-06-24T16:29:29,incoming,MeterValues,0,0.337
1782314969.123,2026-06-24T16:29:29,outgoing,CallResult,45,0.000
1782314978.217,2026-06-24T16:29:38,incoming,Heartbeat,57,0.000
1782314978.218,2026-06-24T16:29:38,outgoing,CallResult,81,0.000
