timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,ev.py_pid,ev.py_cpu_pct,ev.py_rss_mb
1782405529.323349,2026-06-25T16:38:49Z,0.5,137.7,277.6,1710,0.0,14.5
1782405534.3277621,2026-06-25T16:38:54Z,0.0,137.7,277.6,1710,0.0,14.5
1782405539.3318858,2026-06-25T16:38:59Z,0.0,137.7,277.6,1710,0.0,14.5
1782405544.3360107,2026-06-25T16:39:04Z,0.0,137.7,277.6,1710,0.2,14.5
1782405549.3401222,2026-06-25T16:39:09Z,0.0,137.7,277.6,1710,0.0,14.5
1782405554.3442411,2026-06-25T16:39:14Z,0.0,137.7,277.6,1710,0.0,14.5
1782405559.34833,2026-06-25T16:39:19Z,0.0,137.6,277.6,1710,0.2,14.5
1782405564.352524,2026-06-25T16:39:24Z,0.1,137.6,277.6,1710,0.0,14.5
1782405569.3565865,2026-06-25T16:39:29Z,0.0,137.6,277.6,1710,0.2,14.5
1782405574.3605895,2026-06-25T16:39:34Z,0.0,137.6,277.6,1710,0.0,14.5
1782405579.3645394,2026-06-25T16:39:39Z,0.0,137.6,277.6,1710,0.0,14.5
1782405584.3685253,2026-06-25T16:39:44Z,0.0,137.6,277.6,1710,0.2,14.5
1782405589.3726187,2026-06-25T16:39:49Z,0.0,137.6,277.6,1710,0.0,14.5
1782405594.3766017,2026-06-25T16:39:54Z,0.1,137.6,277.6,1710,0.2,14.5
1782405599.3805962,2026-06-25T16:39:59Z,0.0,137.6,277.6,1710,0.0,14.5
1782405604.384557,2026-06-25T16:40:04Z,0.0,137.6,277.6,1710,0.0,14.5
1782405609.3885245,2026-06-25T16:40:09Z,0.3,137.6,277.6,1710,0.2,14.5
