cycle,soh_pct,throughput_kwh,efc,energy_in_kwh,energy_out_kwh,peak_temp_c,end_temp_c
557,84.3235,25866.182,156.7647,42.599,0.0,27.5,27.32
558,84.2977,25908.767,157.0228,42.586,0.0,27.5,27.31
559,84.2719,25951.34,157.2808,42.572,0.0,27.5,27.3
560,84.2461,25993.899,157.5388,42.559,0.0,27.5,27.3
561,84.2203,26036.446,157.7966,42.546,0.0,27.5,27.29
562,84.1946,26078.979,158.0544,42.533,0.0,27.5,27.28
563,84.1688,26121.499,158.3121,42.52,0.0,27.5,27.27
564,84.143,26163.999,158.5697,42.5,0.0,27.5,27.5
565,84.1173,26206.494,158.8272,42.494,0.0,27.5,27.5
566,84.0915,26248.975,159.0847,42.481,0.0,27.5,27.49
567,84.0658,26291.444,159.3421,42.468,0.0,27.5,27.48
568,84.0401,26333.899,159.5994,42.455,0.0,27.5,27.47
569,84.0143,26376.341,159.8566,42.442,0.0,27.5,27.47
570,83.9886,26418.771,160.1138,42.429,0.0,27.5,27.46
571,83.9629,26461.187,160.3708,42.416,0.0,27.5,27.45
572,83.9372,26503.591,160.6278,42.403,0.0,27.5,27.44
573,83.9115,26545.981,160.8847,42.39,0.0,27.5,27.44
574,83.8858,26588.358,161.1416,42.377,0.0,27.5,27.43
575,83.8602,26630.723,161.3983,42.364,0.0,27.5,27.42
576,83.8345,26673.074,161.655,42.352,0.0,27.5,27.42
577,83.8088,26715.413,161.9116,42.339,0.0,27.5,27.41
578,83.7832,26757.739,162.1681,42.326,0.0,27.5,27.4
579,83.7575,26800.051,162.4246,42.313,0.0,27.5,27.39
580,83.7319,26842.351,162.6809,42.3,0.0,27.5,27.39
581,83.7063,26884.638,162.9372,42.287,0.0,27.5,27.38
582,83.6807,26926.911,163.1934,42.274,0.0,27.5,27.37
583,83.655,26969.172,163.4495,42.261,0.0,27.5,27.36
584,83.6294,27011.42,163.7056,42.248,0.0,27.5,27.36
585,83.6038,27053.655,163.9615,42.235,0.0,27.5,27.35
586,83.5783,27095.877,164.2174,42.222,0.0,27.5,27.34
587,83.5527,27138.087,164.4733,42.209,0.0,27.5,27.33
588,83.5271,27180.283,164.729,42.196,0.0,27.5,27.33
589,83.5015,27222.466,164.9846,42.183,0.0,27.5,27.32
590,83.476,27264.636,165.2402,42.17,0.0,27.5,27.31
591,83.4504,27306.794,165.4957,42.157,0.0,27.5,27.3
592,83.4249,27348.939,165.7511,42.145,0.0,27.5,27.3
593,83.3994,27391.07,166.0065,42.132,0.0,27.5,27.29
594,83.3738,27433.189,166.2618,42.119,0.0,27.5,27.28
595,83.3483,27475.295,166.5169,42.106,0.0,27.5,27.27
596,83.3228,27517.378,166.772,42.083,0.0,27.5,27.5
597,83.2973,27559.458,167.027,42.08,0.0,27.5,27.5
598,83.2718,27601.526,167.282,42.067,0.0,27.5,27.49
599,83.2463,27643.58,167.5368,42.054,0.0,27.5,27.48
600,83.2208,27685.622,167.7916,42.042,0.0,27.5,27.48
601,83.1954,27727.65,168.0464,42.029,0.0,27.5,27.47
602,83.1699,27769.666,168.301,42.016,0.0,27.5,27.46
603,83.1444,27811.669,168.5556,42.003,0.0,27.5,27.45
604,83.119,27853.659,168.8101,41.99,0.0,27.5,27.45
605,83.0936,27895.636,169.0645,41.977,0.0,27.5,27.44
606,83.0681,27937.601,169.3188,41.964,0.0,27.5,27.43
607,83.0427,27979.552,169.573,41.952,0.0,27.5,27.42
608,83.0173,28021.491,169.8272,41.939,0.0,27.5,27.42
609,82.9919,28063.417,170.0813,41.926,0.0,27.5,27.41
