timestamp_unix,timestamp_iso,loop_ms,voltage_v,current_a,power_kw,soc_pct
1782663644.492,2026-06-28T17:20:44,1.115,20000.00,0.000,0.000,0.0
1782663648.487,2026-06-28T17:20:48,1.115,20000.00,0.000,0.000,0.0
1782663652.586,2026-06-28T17:20:52,0.896,550.40,18.170,10.001,50.0
1782663656.582,2026-06-28T17:20:56,1.089,550.40,27.250,14.998,50.0
1782663660.679,2026-06-28T17:21:00,1.293,550.40,36.340,20.002,50.0
1782663664.775,2026-06-28T17:21:04,1.294,550.40,45.420,24.999,50.0
1782663668.875,2026-06-28T17:21:08,0.828,550.40,54.510,30.002,50.0
1782663672.848,2026-06-28T17:21:12,0.817,550.40,63.590,35.000,50.0
1782663676.852,2026-06-28T17:21:16,0.912,550.40,72.670,39.998,50.0
1782663680.952,2026-06-28T17:21:20,0.985,550.40,81.760,45.001,50.0
1782663684.953,2026-06-28T17:21:24,0.681,550.40,90.840,49.998,50.0
1782663689.052,2026-06-28T17:21:29,0.753,550.40,99.930,55.001,50.0
1782663693.147,2026-06-28T17:21:33,0.917,550.40,109.000,59.994,50.0
1782663697.248,2026-06-28T17:21:37,0.678,550.40,118.100,65.002,51.0
1782663701.200,2026-06-28T17:21:41,1.033,550.40,127.200,70.011,51.0
1782663705.297,2026-06-28T17:21:45,0.940,550.40,136.300,75.020,51.0
1782663709.396,2026-06-28T17:21:49,0.829,550.40,145.300,79.973,51.0
1782663713.497,2026-06-28T17:21:53,0.700,550.40,154.400,84.982,51.0
1782663717.496,2026-06-28T17:21:57,1.161,550.40,163.500,89.990,51.0
1782663721.501,2026-06-28T17:22:01,0.960,550.40,172.600,94.999,51.0
1782663725.607,2026-06-28T17:22:05,0.782,550.40,181.700,100.008,51.0
1782663729.564,2026-06-28T17:22:09,0.894,550.40,190.800,105.016,51.0
1782663733.562,2026-06-28T17:22:13,0.756,550.40,199.900,110.025,52.0
1782663737.666,2026-06-28T17:22:17,0.858,550.40,208.900,114.979,52.0
1782663741.665,2026-06-28T17:22:21,0.828,550.40,218.000,119.987,52.0
1782663745.669,2026-06-28T17:22:25,0.873,550.40,227.100,124.996,52.0
1782663749.783,2026-06-28T17:22:29,0.831,550.40,236.200,130.004,52.0
1782663753.742,2026-06-28T17:22:33,1.653,550.40,245.300,135.013,52.0
1782663757.745,2026-06-28T17:22:37,0.970,550.40,254.400,140.022,53.0
1782663761.750,2026-06-28T17:22:41,0.920,550.40,263.400,144.975,53.0
1782663765.753,2026-06-28T17:22:45,0.677,550.40,272.500,149.984,53.0
1782663769.845,2026-06-28T17:22:49,1.023,550.40,281.600,154.993,53.0
1782663773.937,2026-06-28T17:22:53,0.678,550.40,281.600,154.993,53.0
1782663777.988,2026-06-28T17:22:57,0.699,550.40,281.600,154.993,54.0
1782663782.078,2026-06-28T17:23:02,0.994,550.40,281.600,154.993,54.0
1782663786.169,2026-06-28T17:23:06,0.688,550.40,281.600,154.993,54.0
1782663790.260,2026-06-28T17:23:10,1.236,550.40,281.600,154.993,54.0
1782663794.352,2026-06-28T17:23:14,0.775,550.40,281.600,154.993,54.0
1782663798.444,2026-06-28T17:23:18,0.934,550.40,281.600,154.993,55.0
1782663802.540,2026-06-28T17:23:22,0.688,550.40,281.600,154.993,55.0
1782663806.635,2026-06-28T17:23:26,0.683,550.40,281.600,154.993,55.0
1782663810.724,2026-06-28T17:23:30,0.693,550.40,281.600,154.993,55.0
1782663814.818,2026-06-28T17:23:34,0.800,550.40,281.600,154.993,56.0
1782663818.870,2026-06-28T17:23:38,0.676,550.40,281.600,154.993,56.0
1782663822.968,2026-06-28T17:23:42,0.728,550.40,281.600,154.993,56.0
1782663827.064,2026-06-28T17:23:47,0.677,550.40,281.600,154.993,56.0
1782663831.157,2026-06-28T17:23:51,1.022,550.40,281.600,154.993,56.0
1782663835.251,2026-06-28T17:23:55,0.841,550.40,281.600,154.993,57.0
1782663839.343,2026-06-28T17:23:59,0.808,550.40,281.600,154.993,57.0
1782663843.437,2026-06-28T17:24:03,0.903,550.40,281.600,154.993,57.0
1782663847.530,2026-06-28T17:24:07,0.772,550.40,281.600,154.993,57.0
1782663851.629,2026-06-28T17:24:11,0.716,550.40,281.600,154.993,57.0
1782663855.724,2026-06-28T17:24:15,0.904,550.40,281.600,154.993,58.0
1782663859.773,2026-06-28T17:24:19,0.848,550.40,281.600,154.993,58.0
1782663863.860,2026-06-28T17:24:23,0.781,550.40,281.600,154.993,58.0
1782663867.948,2026-06-28T17:24:27,0.883,550.40,281.600,154.993,58.0
1782663872.039,2026-06-28T17:24:32,0.796,550.40,281.600,154.993,58.0
1782663876.131,2026-06-28T17:24:36,0.671,550.40,281.600,154.993,59.0
1782663880.222,2026-06-28T17:24:40,0.749,550.40,281.600,154.993,59.0
1782663884.321,2026-06-28T17:24:44,1.246,550.40,281.600,154.993,59.0
1782663888.416,2026-06-28T17:24:48,0.674,550.40,281.600,154.993,59.0
1782663892.510,2026-06-28T17:24:52,0.693,550.40,281.600,154.993,59.0
1782663896.610,2026-06-28T17:24:56,0.963,550.40,281.600,154.993,60.0
1782663900.664,2026-06-28T17:25:00,0.727,550.40,281.600,154.993,60.0
1782663904.759,2026-06-28T17:25:04,0.689,550.40,281.600,154.993,60.0
1782663908.852,2026-06-28T17:25:08,0.686,550.40,281.600,154.993,60.0
1782663912.944,2026-06-28T17:25:12,0.882,550.40,281.600,154.993,61.0
1782663917.042,2026-06-28T17:25:17,0.750,550.40,281.600,154.993,61.0
1782663921.134,2026-06-28T17:25:21,0.676,550.40,281.600,154.993,61.0
1782663925.231,2026-06-28T17:25:25,0.683,550.40,281.600,154.993,61.0
1782663929.325,2026-06-28T17:25:29,0.885,550.40,281.600,154.993,61.0
1782663933.419,2026-06-28T17:25:33,0.758,550.40,281.600,154.993,62.0
1782663937.509,2026-06-28T17:25:37,0.779,550.40,281.600,154.993,62.0
1782663941.558,2026-06-28T17:25:41,0.777,550.40,281.600,154.993,62.0
1782663945.654,2026-06-28T17:25:45,0.689,550.40,281.600,154.993,62.0
1782663949.746,2026-06-28T17:25:49,0.934,550.40,281.600,154.993,62.0
1782663953.838,2026-06-28T17:25:53,0.689,550.40,281.600,154.993,63.0
1782663957.931,2026-06-28T17:25:57,0.688,550.40,281.600,154.993,63.0
1782663962.022,2026-06-28T17:26:02,0.745,550.40,281.600,154.993,63.0
1782663966.122,2026-06-28T17:26:06,0.695,550.40,281.600,154.993,63.0
1782663970.220,2026-06-28T17:26:10,0.784,550.40,281.600,154.993,63.0
1782663974.316,2026-06-28T17:26:14,0.682,550.40,281.600,154.993,64.0
1782663978.412,2026-06-28T17:26:18,0.810,550.40,281.600,154.993,64.0
1782663982.463,2026-06-28T17:26:22,0.720,550.40,281.600,154.993,64.0
1782663986.559,2026-06-28T17:26:26,0.678,550.40,281.600,154.993,64.0
1782663990.650,2026-06-28T17:26:30,0.694,550.40,281.600,154.993,65.0
1782663994.742,2026-06-28T17:26:34,0.687,550.40,281.600,154.993,65.0
1782663998.834,2026-06-28T17:26:38,0.774,550.40,281.600,154.993,65.0
1782664002.928,2026-06-28T17:26:42,0.895,550.40,281.600,154.993,65.0
1782664007.021,2026-06-28T17:26:47,0.680,550.40,281.600,154.993,65.0
1782664011.111,2026-06-28T17:26:51,0.808,550.40,281.600,154.993,66.0
1782664015.202,2026-06-28T17:26:55,0.750,550.40,281.600,154.993,66.0
1782664019.295,2026-06-28T17:26:59,0.801,550.40,281.600,154.993,66.0
1782664023.340,2026-06-28T17:27:03,0.728,550.40,281.600,154.993,66.0
1782664027.435,2026-06-28T17:27:07,0.730,550.40,281.600,154.993,66.0
1782664031.531,2026-06-28T17:27:11,0.691,550.40,281.600,154.993,67.0
1782664035.624,2026-06-28T17:27:15,0.679,550.40,281.600,154.993,67.0
1782664039.721,2026-06-28T17:27:19,0.687,550.40,281.600,154.993,67.0
1782664043.816,2026-06-28T17:27:23,0.690,550.40,281.600,154.993,67.0
