timestamp_unix,timestamp_iso,system_cpu_pct,system_mem_used_mb,system_mem_available_mb,grid.py_pid,grid.py_cpu_pct,grid.py_rss_mb
1782405489.7554016,2026-06-25T16:38:09Z,0.1,337.0,3611.1,2365,0.0,14.9
1782405494.7561853,2026-06-25T16:38:14Z,0.2,334.1,3613.9,2365,0.0,14.9
1782405499.7569246,2026-06-25T16:38:19Z,0.1,332.5,3615.6,2365,0.0,14.9
1782405504.7576616,2026-06-25T16:38:24Z,0.1,331.4,3616.6,2365,0.0,14.9
1782405509.7583818,2026-06-25T16:38:29Z,0.2,331.3,3616.7,2365,0.0,14.9
1782405514.7590985,2026-06-25T16:38:34Z,0.1,330.8,3617.2,2365,0.0,14.9
1782405519.7597802,2026-06-25T16:38:39Z,0.1,330.8,3617.2,2365,0.0,14.9
1782405524.7644775,2026-06-25T16:38:44Z,0.2,330.3,3617.7,2365,0.0,14.9
1782405529.7652214,2026-06-25T16:38:49Z,0.1,330.2,3617.7,2365,0.0,14.9
1782405534.7726521,2026-06-25T16:38:54Z,0.0,331.2,3616.8,2365,0.0,14.9
1782405539.7802093,2026-06-25T16:38:59Z,0.1,330.0,3617.9,2365,0.0,14.9
1782405544.7875612,2026-06-25T16:39:04Z,0.0,330.2,3617.7,2365,0.0,14.9
1782405549.7883177,2026-06-25T16:39:09Z,0.0,330.2,3617.7,2365,0.0,14.9
1782405554.7970922,2026-06-25T16:39:14Z,0.0,330.7,3617.2,2365,0.0,14.9
1782405559.802635,2026-06-25T16:39:19Z,0.0,330.9,3616.9,2365,0.0,14.9
1782405564.8094597,2026-06-25T16:39:24Z,0.0,330.5,3617.4,2365,0.0,14.9
1782405569.8101747,2026-06-25T16:39:29Z,0.1,330.0,3617.8,2365,0.2,14.9
1782405574.818517,2026-06-25T16:39:34Z,0.1,333.0,3614.8,2365,0.0,14.9
1782405579.8192418,2026-06-25T16:39:39Z,0.0,332.1,3615.7,2365,0.0,14.9
1782405584.8297472,2026-06-25T16:39:44Z,0.0,333.0,3614.8,2365,0.0,14.9
1782405589.8304558,2026-06-25T16:39:49Z,0.1,331.9,3615.9,2365,0.0,14.9
1782405594.8311527,2026-06-25T16:39:54Z,0.1,331.0,3616.8,2365,0.0,14.9
1782405599.831853,2026-06-25T16:39:59Z,0.0,330.7,3617.1,2365,0.0,14.9
1782405604.8325531,2026-06-25T16:40:04Z,0.0,335.2,3612.6,2365,0.0,14.9
1782405609.8611195,2026-06-25T16:40:09Z,0.1,335.3,3612.5,2365,0.0,14.9
1782405614.883297,2026-06-25T16:40:14Z,0.1,333.3,3614.4,2365,0.0,14.9
1782405619.8930674,2026-06-25T16:40:19Z,0.0,332.3,3615.5,2365,0.0,14.9
