time_min,soc_percent,power_kw,phase
211.0,83.85,18.674,CC
212.0,84.2,18.692,CC
213.0,84.55,18.71,CC
214.0,84.9,18.728,CC
215.0,85.25,18.747,CC
216.0,85.6,18.765,CC
217.0,85.95,18.784,CC
218.0,86.3,18.803,CC
219.0,86.65,18.821,CC
220.0,87.0,18.84,CC
221.0,87.35,18.859,CC
222.0,87.7,18.878,CC
223.0,88.05,18.897,CC
224.0,88.4,18.916,CC
225.0,88.75,18.935,CC
226.0,89.1,18.954,CC
227.0,89.45,18.973,CC
228.0,89.8,18.993,CC
229.0,90.15,19.012,CC
230.0,90.5,19.031,CC
231.0,90.85,19.051,CC
232.0,91.2,19.07,CC
233.0,91.55,19.09,CC
234.0,91.9,19.109,CC
235.0,92.25,19.129,CC
236.0,92.6,19.149,CC
237.0,92.95,19.169,CC
238.0,93.3,19.189,CC
239.0,93.65,19.209,CC
240.0,94.0,19.229,CC
241.0,94.35,19.249,CC
242.0,94.7,19.27,CC
243.0,94.87,9.161,CV
244.0,94.94,4.084,CV
245.0,94.97,1.818,CV
246.0,94.99,0.808,CV
247.0,94.99,0.359,CV
248.0,95.0,0.16,CV
249.0,95.0,0.071,CV
250.0,95.0,0.032,CV
251.0,95.0,0.014,CV
252.0,95.0,0.006,done
253.0,95.0,0.003,done
254.0,95.0,0.001,done
255.0,95.0,0.001,done
256.0,95.0,0.0,done
257.0,95.0,0.0,done
258.0,95.0,0.0,done
259.0,95.0,0.0,done
260.0,95.0,0.0,done
261.0,95.0,0.0,done
262.0,95.0,0.0,done
263.0,95.0,0.0,done
264.0,95.0,0.0,done
265.0,95.0,0.0,done
266.0,95.0,0.0,done
267.0,95.0,0.0,done
268.0,95.0,0.0,done
269.0,95.0,0.0,done
270.0,95.0,0.0,done
271.0,95.0,0.0,done
272.0,95.0,0.0,done
273.0,95.0,0.0,done
274.0,95.0,0.0,done
275.0,95.0,0.0,done
276.0,95.0,0.0,done
277.0,95.0,0.0,done
278.0,95.0,0.0,done
279.0,95.0,0.0,done
280.0,95.0,0.0,done
281.0,95.0,0.0,done
282.0,95.0,0.0,done
283.0,95.0,0.0,done
284.0,95.0,0.0,done
285.0,95.0,0.0,done
286.0,95.0,0.0,done
287.0,95.0,0.0,done
288.0,95.0,0.0,done
289.0,95.0,0.0,done
290.0,95.0,0.0,done
291.0,95.0,0.0,done
292.0,95.0,0.0,done
293.0,95.0,0.0,done
294.0,95.0,0.0,done
295.0,95.0,0.0,done
296.0,95.0,0.0,done
297.0,95.0,0.0,done
298.0,95.0,0.0,done
299.0,95.0,0.0,done
